Tool,keywords_score,Description,Topics,Type,Citations,URL,bio.tools URL,keyword_rank,citations_rank,Score
primedesign,1.000,PrimeDesign software for rapid and simplified design of prime editing guide RNAs.,"['Genetic variation', 'RNA', 'Genetic engineering', 'Nucleic acid sites, features and motifs', 'Probes and primers']",[],0.0,http://primedesign.pinellolab.org/pooled,https://bio.tools/primedesign,160.0,112.0,140.8
guidefinder,1.000,"A Universal, Genomewide GuideFinder for CRISPR/Cas9 Targeting in Microbial Genomes.

Pan-bacterial, genome-wide guide designer.","['Microbial ecology', 'Genomics', 'Probes and primers', 'Gene expression', 'Gene transcripts']",['Command-line tool'],0.0,,https://bio.tools/guidefinder,160.0,112.0,140.8
stmove,1.000,"Exploratory movement analysis and report building with R package stmove | Abstract Background As GPS tags and data loggers have become lighter, cheaper, and longer-lasting, there has been a growing influx of data on animal movement. Simultaneously, methods of analyses and software to apply such methods to movement data have expanded dramatically. Even so, for many interdisciplinary researchers and managers without familiarity with the field of movement ecology and the open-source tools that have been developed, the analysis of movement data has remained an overwhelming challenge. Description Here we present stmove , an R package designed to take individual relocation data and generate a visually rich report containing a set of preliminary results that ecologists and managers can use to guide further exploration of their data",['Ecology'],[],0.0,,https://bio.tools/stmove,160.0,112.0,140.8
personode,1.000,"A Toolbox for ICA Map Classification and Individualized ROI Definition.

Personode is a MATLAB toolbox designed for regions-of-interest (ROI) individualization based on fMRI spatial independent component analysis (ICA) maps after a semi-automatic classification into resting-state networks (RSNs).

Personode is a user-friendly, open-source MatLab toolbox that semi-automatically guides through ICA components classification into resting-state networks (RSN), alleviating the selection process, and allows the robust definition of either group- or subject-specific ROIs derived from RSN, which could make network analysis more accurate and individually specific.","['Medical imaging', 'MRI', 'Mapping']",[],0.0,https://github.com/gustavopamplona/Personode,https://bio.tools/personode,160.0,112.0,140.8
idna6ma-rice,1.000,"A Computational Tool for Detecting N6-Methyladenine Sites in Rice | Home About us Web-Server Contact us Download Citation | 6mA is formed by transferring methyl groups to the 6th position of the adenine ring catalyzed by methyl-transferases. It is a non-canonical DNA modification that is present at low levels in different eukaryotes. 6mA possesses similar characteristics between prokaryotes and eukaryotes. Its functions display diversity, such as guiding the discrimination between original and newly synthesized DNA strand after replication, regulating gene transcription and repressing transposable elements; in the cell cycle, reducing the stability of base pairings for opening DNA duplexes. Strikingly, the protection from methylation is an inherited state that, however, can be modified by environmental conditions","['Epigenetics', 'Gene expression', 'DNA']",['Web application'],0.0,,https://bio.tools/idna6ma-rice,160.0,112.0,140.8
international protein index (ipi),1.000,"Provides a top level guide to the main databases that describe the proteomes of higher eukaryotic organisms. It effectively maintains a database of cross references between the primary data sources, provides minimally redundant yet maximally complete sets of proteins for featured species (one sequence per transcript) and maintains stable identifiers (with incremental versioning) to allow the tracking of sequences.","['Functional genomics', 'Proteins', 'Data governance', 'Data integration and warehousing']",['Database portal'],623.0,,https://bio.tools/international protein index (ipi),160.0,158.0,159.2
pyflosic,1.000,"Python-based Fermi-Löwdin orbital self-interaction correction (FLO-SIC).

The following document will guide you through the setup and show you how to get started with this Python-based FLO-SIC code.


The development of PyFLOSIC started with the master's thesis of Lenz Fiedler. Over the last year, we had many updates and complete code re-writes by Sebastian Schwalbe (ase-backends,classes etc.) and Torsten Hahn (various speed-up techniques). Our main testers are Kai Trepte, Sebastian Schwalbe and Jakob Kraus. Jens Kortus is our overall theoretical guide and head of decisions, whereas Susi Lehtola has recently joined the team and provides new perspectives.","['Physics', 'Chemistry', 'NMR', 'Software engineering']",[],0.0,,https://bio.tools/pyflosic,160.0,112.0,140.8
transsynw,1.000,"A single-cell RNA-sequencing based web application to guide cell conversion experiments.

Convert between cell subtypes by using single-cell data to identify an optimal, subtype-specific set of core transcription factors personalized for your own human or mouse cell study.

Starting cell population: Select or upload a tab-separated file with the single-cell gene expression data from the cell type you started your differentiation protocol from. Genes should be labeled according to the Gene Symbols nomenclature.","['RNA-Seq', 'Regenerative medicine', 'Ontology and terminology', 'Cell biology', 'Transcription factors and regulatory sites']",[],0.0,https://git-r3lab.uni.lu/mariana.ribeiro/transsynw,https://bio.tools/transsynw,160.0,112.0,140.8
wipp,1.000,"Workflow for Improved Peak Picking for Gas Chromatography-Mass Spectrometry (GC-MS) Data | large scale GC-MS data preprocessing workflow | WiPP - A Workflow for improved Peak Picking - Quick Start Guide | WiPP is an open source large scale GC-MS data preprocessing workflow built in Python 3 that uses machine learning to optimise, automate and combine the peak detection process of commonly used peak picking algorithms","['Metabolomics', 'Machine learning', 'Workflows']",[],0.0,,https://bio.tools/wipp,160.0,112.0,140.8
potpourri,1.000,"An Epistasis Test Prioritization Algorithm via Diverse SNP Selection.

Potpourri provides a MATLAB interface for ease of use. These instructions will guide you to build and run Potpourri on MATLAB.","['Exome sequencing', 'GWAS study', 'Genotype and phenotype', 'Transcription factors and regulatory sites', 'DNA polymorphism']",[],0.0,,https://bio.tools/potpourri,160.0,112.0,140.8
sequila-cov,1.000,A fast and scalable library for depth of coverage calculations | SeQuiLa User Guide — bdg-sequila 0.5.6-spark-2.4.3 documentation,"['Exome sequencing', 'RNA-Seq', 'Whole genome sequencing']",[],0.0,,https://bio.tools/sequila-cov,160.0,112.0,140.8
rnaxplorer,1.000,"Harnessing the Power of Guiding Potentials to Sample RNA Landscapes.

RNAxplorer is a multitool, that offers different methods to explore RNA energy landscapes. The main use case is sampling of representative structures of the RNA conformation space, in order to compute RNA folding kinetics.","['Nucleic acid structure analysis', 'RNA', 'Sample collections', 'Protein folds and structural domains']",[],0.0,,https://bio.tools/rnaxplorer,160.0,112.0,140.8
vntrfinder,1.000,"The program enables the detection of sequence length variation between arrays of inter-specific or intra-specific tandem repeats. In the absence of comparable sequences to explore observed variation, predictions are provided describing which tandem repeats are more likely to be variable, to help guide and focus further experimental evaluation.","['Sequence composition, complexity and repeats', 'Genetic variation', 'Sequence analysis', 'DNA']",['Command-line tool'],8.0,http://www.mybiosoftware.com/vntrfinder-v1-variable-number-tandem-repeats-finder.html,https://bio.tools/vntrfinder,160.0,135.0,150.0
wheatcrispr,1.000,"a web-based guide RNA design tool for CRISPR/Cas9-mediated genome editing in wheat.

BACKGROUND:CRISPR Cas9 gene editing has become a revolutionary technique for crop improvement as it can facilitate fast and efficient genetic changes without the retention of transgene components in the final plant line. Lack of robust bioinformatics tools to facilitate the design of highly specific functional guide RNAs (gRNAs) and prediction of off-target sites in wheat is currently an obstacle to effective application of CRISPR technology to wheat improvement. DESCRIPTION:We have developed a web-based bioinformatics tool to design specific gRNAs for genome editing and transcriptional regulation of gene expression in wheat","['Genetic engineering', 'Agricultural science', 'Gene expression', 'Gene transcripts', 'Plant biology']",[],0.0,,https://bio.tools/wheatcrispr,160.0,112.0,140.8
transborrow,1.000,"genome-guided transcriptome assembly by borrowing assemblies from different assemblers.

RNA-seq technology is widely used in various transcriptomic studies and provides great opportunities to reveal the complex structures of transcriptomes. To effectively analyze RNA-seq data, we introduce a novel transcriptome assembler, TransBorrow, which borrows the assemblies from different assemblers to search for reliable subsequences by building a colored graph from those borrowed assemblies. Then, by seeding reliable subsequences, a newly designed path extension strategy accurately searches for a transcript-representing path cover over each splicing graph. TransBorrow was tested on both simulated and real data sets and showed great superiority over all the compared leading assemblers","['Transcriptomics', 'Sequence assembly', 'RNA-Seq']",[],0.0,,https://bio.tools/transborrow,160.0,112.0,140.8
aizynthfinder,1.000,Aizynthfinder is a tool for retrosynthetic planning. The algorithm is based on a Monte Carlo tree search that recursively breaks down a molecule to purchasable precursors. The tree search is guided by a policy that suggests possible precursors by utilizing a neural network trained on a library of known reaction templates.,"['Machine learning', 'Chemistry', 'Molecular biology']","['Desktop application', 'Command-line tool']",0.0,,https://bio.tools/aizynthfinder,160.0,112.0,140.8
pathdnn,1.000,"Pathway-guided deep neural network toward interpretable and predictive modeling of drug sensitivity.

Predict the drug sensitivity to cancer cells.","['Molecular interactions, pathways and networks', 'Oncology', 'Machine learning', 'Small molecules', 'Pharmacology']",[],0.0,,https://bio.tools/pathdnn,160.0,112.0,140.8
tugda,1.000,Task uncertainty guided domain adaptation for robust generalization of cancer drug response prediction from in vitro to in vivo settings.,"['Machine learning', 'Oncology', 'Personalised medicine']",[],0.0,,https://bio.tools/tugda,160.0,112.0,140.8
opencasa,1.000,"Open-source and scalable computer-assisted sperm analysis (CASA) tool. Allows users to study three classical sperm quality parameters: motility, morphometry and membrane integrity (viability) and offers the possibility of analyzing the guided movement response of spermatozoa to different stimuli or different motile cells.",['Imaging'],['Desktop application'],4.0,https://github.com/calquezar/OpenCASA/issues,https://bio.tools/opencasa,160.0,127.0,146.8
kimono,1.000,"Knowledge guided multi-level network inference.

KiMONo is a network inference tool for multi-omics datasets. The multi-omics network is calculated by sparse-group-LASSO regression and can incorporate prior biological information using protein-protein Interactions.","['Protein interactions', 'Proteomics', 'Epigenetics', 'Machine learning', 'Gene expression']",['Command-line tool'],0.0,https://github.com/cellmapslab/KiMONo,https://bio.tools/kimono,160.0,112.0,140.8
ngsl,1.000,"Guide Subspace Learning for Unsupervised Domain Adaptation.

Guided Subspace Learning(GSL demo).

In the file, there are multiple .m files.

NGSL.m : Core codes of NGSL algorithm.

GSL.m : Core codes of GSL algorithm.",['Machine learning'],['Command-line tool'],0.0,,https://bio.tools/ngsl,160.0,112.0,140.8
timeor,1.000,"a web-based tool to uncover temporal regulatory mechanisms from multi-omics data.

Trajectory Inference and Mechanism Exploration with Omics in R.

It's about time! Click here for a quick video demonstration of the TIMEOR application, and click here for a video guide through the tutorial below.

Analyzing time series differential gene expression and other multi-omics data is computationally laborious and full of complex choices for the various types of time series experiment analyses. The TIMEOR web-application offers a solution as an interactive and adaptive R-Shiny web interface to support reproducibility and the best tools for a given experimental design.","['Molecular interactions, pathways and networks', 'RNA-Seq', 'ChIP-seq', 'Transcription factors and regulatory sites', 'Functional, regulatory and non-coding RNA']",[],0.0,,https://bio.tools/timeor,160.0,112.0,140.8
priority,1.000,PRIORITY is a tool for de novo motif discovery in the context of transcription factor (TF) binding sites. It implements a new approach to motif discovery in which informative priors over sequence positions are used to guide the search.,"['Transcription', 'DNA']",['Command-line tool'],47.0,http://www.mybiosoftware.com/priority-2-1-0-de-novo-motif-discovery.html,https://bio.tools/priority,160.0,145.0,154.0
aida,1.000,AIDA: Ab Initio Domain Assembly Server attempts to find the best domain arrangements while maintaining chain connectivity. The server also supports structure assembly from sequence only and restraint-guided simulation producing a final assembly satisfying user-specified inter-domain distance restraints.,"['Protein structural motifs and surfaces', 'Sequence assembly', 'Small molecules', 'Protein folds and structural domains', 'Structure prediction']",['Web application'],50.0,,https://bio.tools/aida,160.0,146.0,154.4
multiguidescan,1.000,Multi-processing tool for designing CRISPR guide RNA libraries.,"['Sequencing', 'RNA', 'DNA']",['Command-line tool'],0.0,https://github.com/bioinfomaticsCSU/MultiGuideScan/issues,https://bio.tools/multiguidescan,160.0,112.0,140.8
xander,1.000,"Novel method for targeting assembly of specific protein-coding genes using a graph structure combining both de Bruijn graphs and protein HMMs. The inclusion of HMM information guides the assembly, with concomitant gene annotation.","['Metagenomics', 'Sequence assembly', 'Phylogenetics']",['Command-line tool'],0.0,http://www.mybiosoftware.com/xander-gene-targeted-metagenomic-assembler.html,https://bio.tools/xander,160.0,112.0,140.8
ascrispr,1.000,"a web server for allele-specific sgRNA design in precision medicine | Abstract Allele-specific targeting by CRISPR provides a point of entry for personalized gene therapy of dominantly inherited diseases, by selectively disrupting the mutant alleles or disease-causing single nucleotide polymorphisms (SNPs), ideally while leaving normal alleles intact. Despite unprecedented specificity and tremendous therapeutic utility of allele-specific targeting by CRISPR, few bioinformatic tools have been implemented for the allele-specific purpose. We thus developed AsCRISPR ( A llele- s pecific CRISPR ), a web tool to aid the design of guide sequences that can discriminate between alleles. It can process with query sequences harboring single-base or short insertion-deletion (indel) mutations, as well as heterozygous SNPs deposited in the dbSNP database. Multiple CRISPR nucleases and their engineered variants including newly-developed Cas12b and CasX are included for users’ choice","['Geriatric medicine', 'DNA polymorphism', 'Personalised medicine']",[],0.0,,https://bio.tools/ascrispr,160.0,112.0,140.8
kbbox,1.000,"A Toolbox of Computational Methods for Studying the Kinetics of Molecular Binding | KBbox is developed to be of use to researchers interested in applying these methods in their work. To help with this, KBbox provides an updated list of examples of published work, along with detailed tutorials to guide less experienced researchers","['Molecular interactions, pathways and networks', 'Pharmacology', 'Drug metabolism']",['Web application'],0.0,,https://bio.tools/kbbox,160.0,112.0,140.8
spatialcpie,1.000,"an R/Bioconductor package for spatial transcriptomics cluster evaluation.

SpatialCPie is an R package designed to facilitate cluster evaluation for spatial transcriptomics data by providing intuitive visualizations that display the relationship between clusters in order to guide the user during cluster identification, selection and further downstream applications.","['Transcriptomics', 'RNA-Seq', 'Data visualisation']",[],0.0,,https://bio.tools/spatialcpie,160.0,112.0,140.8
crispr explorer,1.000,"A fast and intuitive tool for designing guide RNA for genome editing | The RNA-guided CRISPR-Cas9 (clustered, regularly interspaced, short palindromic repeat-CRISPR-associated 9) system has become a revolutionary technology for targeted genome engineering. The critical step of this technology requires the design of a highly specific and efficient guide RNA (gRNA) that will guide the Cas9 nuclease to the complementary DNA target sequence. CRISPR-Explorer is a new and user-friendly web server for selecting optimal CRISPR sites. It implements the latest scoring schemes of gRNA specificity and efficiency based on published empirical studies. The gRNA design results are generated instantly, thus removing wait times. The user can visualize the high-quality gRNAs with detailed design information through an interactive genome browser. Furthermore, the user can define and specify the parameters for gRNA selection in the Batch Design mode, which recognizes various input formats","['Epigenomics', 'Gene transcripts', 'Genetic engineering']",['Web application'],0.0,http://52.10.109.25/,https://bio.tools/crispr explorer,160.0,112.0,140.8
sars-cov-2,1.000,"Relevance of SARS-CoV-2 related factors ACE2 and TMPRSS2 expressions in gastrointestinal tissue with pathogenesis of digestive symptoms, diabetes-associated mortality, and disease recurrence in COVID-19 patients.

Energetics based epitope screening in SARS CoV-2 (COVID 19) spike glycoprotein by Immuno-informatic analysis aiming to a suitable vaccine development.

a practice of building a community with a shared future for mankind.

Computational Prediction of the Comprehensive SARS-CoV-2 vs. Human Interactome to Guide the Design of Therapeutics.

Artificial intelligence predicts the immunogenic landscape of SARS-CoV-2.

Identification of Patient Characteristics Associated With SARS-CoV-2 Infection and Outcome in Kidney Transplant Patients Using Serological Screening.

De novo design of high-affinity antibody variable regions (Fv) against the SARS-CoV-2 spike protein.

Severe Acute Respiratory Syndrome (SARS).","['Molecular interactions, pathways and networks', 'Surgery', 'Machine learning', 'Immunoinformatics', 'Immunogenetics']",[],0.0,https://www.who.int/csr/sars/en/,https://bio.tools/sars-cov-2,160.0,112.0,140.8
c-rnncrispr,1.000,C-RNNCrispr is a framework for CRISPR/Cas9 single guide RNA (sgRNA) on-target activity prediction using convolutional and recurrent neural networks.,"['Epigenetics', 'Machine learning', 'Sequencing']",[],0.0,,https://bio.tools/c-rnncrispr,160.0,112.0,140.8
scikit-surgery,1.000,"Compact libraries for surgical navigation.

This paper introduces the SciKit-Surgery libraries, designed to enable rapid development of clinical applications for image-guided interventions. SciKit-Surgery implements a family of compact, orthogonal, libraries accompanied by robust testing, documentation, and quality control. SciKit-Surgery libraries can be rapidly assembled into testable clinical applications and subsequently translated to production software without the need for software reimplementation. The aim is to support translation from single surgeon trials to multicentre trials in under 2 years. METHODS:At the time of publication, there were 13 SciKit-Surgery libraries provide functionality for visualisation and augmented reality in surgery, together with hardware interfaces for video, tracking, and ultrasound sources. The libraries are stand-alone, open source, and provide Python interfaces","['Surgery', 'Medical imaging', 'Preclinical and clinical studies', 'Echography', 'Protein expression']",[],0.0,https://github.com/UCL/SciKit-SurgeryTutorial01,https://bio.tools/scikit-surgery,160.0,112.0,140.8
gridss,1.000,"A high-speed next-gen sequencing structural variation caller. It calls variants based on alignment-guided positional de Bruijn graph breakpoint assembly, split read, and read pair evidence.","['Structural genomics', 'DNA structural variation']",['Command-line tool'],0.0,https://github.com/PapenfussLab/gridss/,https://bio.tools/gridss,160.0,112.0,140.8
ukin,1.000,uKIN Combines New and Prior Information with Guided Network Propagation to Accurately Identify Disease Genes.,"['Oncology', 'Protein interactions', 'Exome sequencing', 'Pathology', 'Genetics']",[],0.0,,https://bio.tools/ukin,160.0,112.0,140.8
pubrecheck,1.000,"How to improve automated discoverability and interpretability.

Data-driven research in biomedical science requires structured, computable data. Increasingly, these data are created with support from automated text mining. Text-mining tools have rapidly matured: although not perfect, they now frequently provide outstanding results. We describe 10 straightforward writing tips-and a web tool, PubReCheck-guiding authors to help address the most common cases that remain difficult for text-mining tools. We anticipate these guides will help authors' work be found more readily and used more widely, ultimately increasing the impact of their work and the overall benefit to both authors and readers.","['Natural language processing', 'Data mining', 'Ontology and terminology', 'Medicine', 'Biomedical science']",[],0.0,,https://bio.tools/pubrecheck,160.0,112.0,140.8
deephf,1.000,"Optimized CRISPR guide RNA design for two high-fidelity Cas9 variants by deep learning | Core code for the DeepHF prediction tool | SpCas9 & Base Editor Efficiency Prediction | This tool provides guide designs for Wild-type SpCas9, two highly specific Cas9 mutants(eSpCas9 (1.1) and SpCas9-HF1) and base editors (AncBE4max, ABEmax)","['RNA', 'Machine learning', 'Sequencing']","['Database portal', 'Web application']",0.0,https://github.com/izhangcd/DeepHF/issues,https://bio.tools/deephf,160.0,112.0,140.8
magecomet,1.000,"An online tool that facilitates curation of MAGE-TAB. It combines text-mining and the Experimental Factor Ontology (EFO) to create a semi-automatic environment for faster annotation, guided data-manipulation and content summary.","['Data architecture, analysis and design', 'Data mining']",['Web application'],1.0,http://www.ebi.ac.uk/support/,https://bio.tools/magecomet,160.0,119.0,143.6
drugscoreppi,1.000,DrugScorePPI web server performs alanine scanning within a given protein-protein complex in silico. Useful for guiding biological experiments and in the development of protein-protein interaction modulators.,"['Protein interaction experiment', 'Molecular interactions, pathways and networks', 'Protein interactions']",['Web application'],63.0,,https://bio.tools/drugscoreppi,160.0,148.0,155.2
psar,1.000,"Software to the alignments in the UCSC Genome Browser to measure the reliability of alignments in different types of regions, such as coding exons and conserved non-coding regions, and use it to guide cross-species conservation study.","['Gene transcripts', 'Data quality management', 'Sequence analysis']",['Command-line tool'],7.0,http://www.mybiosoftware.com/psar-measuring-multiple-sequence-alignment-reliability-probabilistic-sampling.html,https://bio.tools/psar,160.0,132.0,148.8
seqcons,1.000,SeqCons is an open source consensus computation program for Linux and Windows. The algorithm can be used for de novo and reference-guided sequence assembly.,"['Sequencing', 'Sequence assembly', 'Sequence analysis']",['Command-line tool'],22.0,,https://bio.tools/seqcons,160.0,138.0,151.2
vcfview,1.000,"An Extensible Data Visualization and Quality Assurance Platform for Integrated Somatic Variant Analysis.

An interactive Rshiny tool designed to support the evaluation of somatic mutation calls from cancer sequencing data. The tool takes as input a single variant call format (VCF) file and enables researchers to explore the impacts of analytical choices on the mutant allele frequency spectrum, on mutational signatures and on annotated somatic variants in genes of interest. It allows variants that have failed caller filters to be re-examined in order to improve sensitivity or guide strategies for optimal sample / sequencing preparation. It is extensible allowing other algorithms to take advantage of its VCF preprocessing capabilities.","['Oncology', 'Genetic variation', 'Quality affairs', 'Genomics', 'Sequencing']",[],0.0,,https://bio.tools/vcfview,160.0,112.0,140.8
thresholdnet,1.000,"ThresholdNet with Confidence-Guided Manifold Mixup for Polyp Segmentation.

The automatic segmentation of polyp in endoscopy images is crucial for early diagnosis and cure of colorectal cancer. Existing deep learning-based methods for polyp segmentation, however, are inadequate due to the limited annotated dataset and the class imbalance problems. Moreover, these methods obtained the final polyp segmentation results by simply thresholding the likelihood maps at an eclectic and equivalent value (often set to 0.5). In this paper, we propose a novel ThresholdNet with a confidence-guided manifold mixup (CGMMix) data augmentation method, mainly for addressing the aforementioned issues in polyp segmentation. The CGMMix conducts manifold mixup at the image and feature levels, and adaptively lures the decision boundary away from the under-represented polyp class with the confidence guidance to alleviate the limited training dataset and the class imbalance problems","['Oncology', 'Imaging', 'Mapping']",[],0.0,,https://bio.tools/thresholdnet,160.0,112.0,140.8
vding,1.000,Use of three points to determine the accuracy of guided implantation.,"['Tomography', 'Literature and language']",[],0.0,,https://bio.tools/vding,160.0,112.0,140.8
gpcr-ssfe,1.000,GPCR-Sequence-Structure-Feature-Extractor (SSFE). Provides template suggestions and homology models of Class A GPCRs. Identifies key sequence and structural motifs in Class A GPCRs to guide template selection and build homology models.,"['Molecular modelling', 'Sequence sites, features and motifs']","['Web application', 'Database portal', 'Suite']",4.0,,https://bio.tools/gpcr-ssfe,160.0,127.0,146.8
nachrdb,1.000,"A Web Resource of Structure-Function Annotations to Unravel the Allostery of Nicotinic Acetylcholine Receptors.

Database of structural-functional annotations of nicotinic acetylcholine receptors.

NAChRDB is a web-accessible database of residue-level structural-functional annotations of nicotinic acetylcholine receptors.

NAChRDB is particularly useful for identifying gaps in knowledge and for guiding discovery through structural and molecular biology experiments, especially when exploring the allosteric mechanisms underlying neuromuscular nAChR function and pathology.","['Pathology', 'Zoology', 'Literature and language']",['Database portal'],0.0,,https://bio.tools/nachrdb,160.0,112.0,140.8
crisprdesignr,1.000,"A Versatile Guide RNA Design Package in R for CRISPR/Cas9 Applications.

Software used to design guide RNA sequences for CRISPR/Cas9 genome editing.

Steps to install crispRdesignR (tested in R version 3.4.4):.

This software aims to provide all scientifically pertinent information when designing guide RNA sequences for Cas9 genome editing.

The DAK1.fasta and DAK1_short.txt file contains a DNA sequence native to the DAK1 gene that can be copied and pasted into crispRdesignR or uploaded as a file (in the GUI version)","['RNA-Seq', 'Model organisms', 'Genetic engineering', 'Gene transcripts', 'DNA polymorphism']",['Library'],0.0,,https://bio.tools/crisprdesignr,160.0,112.0,140.8
guide,1.000,"Guide (Genome Informatics Data Explorer) is a desktop application designed for the bench biologists to analyse RNA-Seq and microarray expression data. It performs gene-centric analyses such as differential expression and pathways using well-established R modules. It also integrates useful data from multiple sources, such as gene annotation and orthologue data, and enables editing of R commands to customise the analyses for advanced users.","['Gene expression', 'RNA', 'RNA-seq', 'Pathways']",['Desktop application'],3.0,http://www.mybiosoftware.com/guide-0-3-1-application-for-gene-expression-analysis.html,https://bio.tools/guide,160.0,123.0,145.2
firth software tools,1.000,Tools for estimating completeness and diversity in randomized protein-encoding libraries; useful for guiding library design and for analyzing results. GLUE Including Translation (GLUE-IT) finds the expected amino acid completeness of libraries. PEDEL-AA calculates amino acid statistics for libraries generated by epPCR.,"['Genetic variation', 'Statistics and probability', 'Small molecules', 'Transcription factors and regulatory sites', 'Structure prediction']",['Web application'],237.0,,https://bio.tools/firth software tools,160.0,154.0,157.6
crisprseek,1.000,"The package includes functions to find potential guide RNAs for input target sequences, optionally filter guide RNAs without restriction enzyme cut site, or without paired guide RNAs, genome-wide search for off-targets, score, rank, fetch flank sequence and indicate whether the target and off-targets are located in exon region or not.","['Genetics', 'RNA', 'Genomics']","['Command-line tool', 'Library']",86.0,,https://bio.tools/crisprseek,160.0,149.0,155.6
wce-agdn,1.000,"Attention Guided Deformation Network (AGDN) utilizes attention maps to localize and zoom in lesion regions, thus enabling better inspection in order to make better diagnosis of the small lesions in WCE images.","['Machine learning', 'Medical imaging', 'Transcription factors and regulatory sites']",[],0.0,,https://bio.tools/wce-agdn,160.0,112.0,140.8
nanoxtract,1.000,"Zeta-Potential Read-Across Model Utilizing Nanodescriptors Extracted via the NanoXtract Image Analysis Tool Available on the Enalos Nanoinformatics Cloud Platform.

Nanomaterials Image Analysis Tool Powered by Enalos Cloud Platform.

Computation User Guide Download demo image.

Statistically processed image end result.","['Electron microscopy', 'Model organisms', 'Bioimaging']",['Web application'],0.0,,https://bio.tools/nanoxtract,160.0,112.0,140.8
promotercad,1.000,PromoterCAD is a web server for designing synthetic promoters in plants with altered transcriptional regulation. PromoterCAD uses published high-throughput expression and motif data from Arabidopsis thaliana to guide DNA design.,"['Data mining', 'DNA', 'Transcription factors and regulatory sites', 'Gene expression', 'Plant biology']",['Web application'],4.0,,https://bio.tools/promotercad,160.0,127.0,146.8
caspr,1.000,"An analysis pipeline for single and paired guide RNA CRISPR screens, reveals optimal target selection for long noncoding RNAs.","['RNA-Seq', 'Genotype and phenotype', 'Gene expression', 'Gene transcripts', 'Functional, regulatory and non-coding RNA']",[],0.0,,https://bio.tools/caspr,160.0,112.0,140.8
quanttb,1.000,"a method to classify mixed Mycobacterium tuberculosis infections within whole genome sequencing data.

QuantTB is a SNP based method to identify and quantify individual strains present in Tuberculosis whole genome sequencing datasets.

These instructions will guide you through the process of using QuantTB, so that you can deploy it on your own local system. Tested to work for Mac OSX and Ubuntu.","['DNA polymorphism', 'Metagenomics', 'Genotype and phenotype', 'Phylogeny', 'Whole genome sequencing']",[],0.0,,https://bio.tools/quanttb,160.0,112.0,140.8
la isla de tomato,1.000,"Diverse traits contribute to salinity tolerance of wild tomato seedlings from the Galapagos Islands.

Analyzing natural variation in Galapagos tomatoes.

La_isla_de_tomato App user guide.

The manuscript is currently undergoing submission / revision, but this App is available to explore the data freely. The App can be accessed here or run locally from your machine, by typing the following: library(""shiny"") shiny::runGitHub(""mmjulkowska/La_isla_de_tomato"", ""mmjulkowska"").","['Mapping', 'Genotype and phenotype', 'Agricultural science', 'Plant biology']","['Library', 'Command-line tool']",0.0,https://mmjulkowska.shinyapps.io/La_isla_de_tomato/,https://bio.tools/la isla de tomato,160.0,112.0,140.8
crisprdirect,1.000,Software for designing CRISPR/Cas guide RNA with reduced off-target sites.,"['Gene transcripts', 'Functional, regulatory and non-coding RNA', 'Transcription factors and regulatory sites']",['Web application'],224.0,,https://bio.tools/crisprdirect,160.0,153.0,157.2
clarite,1.000,"CLeaning to Analysis: Reproducibility-based Interface for Traits and Exposures (CLARITE) is as a tool to efficiently clean environmental data, perform regression analysis, and visualize results on a single platform through user-guided automation. It exists as both an R package and a Python package. Though CLARITE focuses on EWAS, it is intended to also improve the QC process for phenotypes and clinical lab measures for a variety of downstream analyses, including phenome-wide association studies and gene-environment interaction studies.","['Nutritional science', 'Workflows', 'Endocrinology and metabolism', 'GWAS study', 'Genotype and phenotype']",['Library'],0.0,https://github.com/HallLab/clarite,https://bio.tools/clarite,160.0,112.0,140.8
ppiipred,1.000,"Prediction of polyproline II secondary structure propensity in proteins.

Please read the guide for details on how to tuse PPIIPred.

Predicts polyproline II secondary structure from primary amino acid sequence using a bidirectional recurrent neural network.

This can generate an alignment for an existing UNIPROT sequence and then run it through PPIIPred, instead of entering your own sequence (enter UNIPROT ID here).","['Machine learning', 'Small molecules', 'Protein secondary structure', 'Protein folds and structural domains', 'Structure prediction']",[],0.0,,https://bio.tools/ppiipred,160.0,112.0,140.8
scones,1.000,"SConES (Selecting Connected Explanatory SNPs) is a network-guided multi-locus association mapping methods. It allows for the discovery genetic loci that are maximally associated with a phenotype, and tend to be connected on an underlying network. This network can be constructed from a gene-gene interaction network (based on proximity), or in any way such that you believe that neighboring SNPs should tend to be selected together.","['Genetics', 'Mapping']",['Command-line tool'],26.0,http://www.mybiosoftware.com/scones-efficient-network-guided-multi-locus-association-mapping-graph-cuts.html,https://bio.tools/scones,160.0,140.0,152.0
wiz,1.000,"A Web-Based Tool for Interactive Visualization of Big Data.

Wiz is a web-based app for interactive data visualisation. 
Wiz is a convienient tool for interactively plotting data. Wiz allows users to quickly explore their data with fast switching between plot types and data series. Built-in features allow users to filter their data, edit plot layouts, and even print high quality images of their graphs. Check out our original publication , the help guide, the video, and the info below to get started!.","['Machine learning', 'Imaging', 'Data visualisation']",[],0.0,https://github.com/peymanzmoghadam/Wiz,https://bio.tools/wiz,160.0,112.0,140.8
