Tool,Score,Description,URL,bio.tools URL
alliance genome resources,0.333,A modern data ecosystem for model organism databases.,https://github.com/alliance-genome/,https://bio.tools/alliance genome resources
the brenda tissue ontology (bto),0.333,"BRENDA Tissue Ontology is a structured encyclopedia of tissue terms. BTO contains different anatomical structures, tissues, cell types and cell lines, classified under generic categories corresponding to the rules and formats of the Gene Ontology Consortium and organized as a directed acyclic graph (DAG). A versatile web interface with several search and navigation functionalities allows convenient online access to the BTO and to the enzymes isolated from the tissues.",,https://bio.tools/the brenda tissue ontology (bto)
cadgene,0.333,"Comprehensive manually curated database for coronary artery disease genes. Candidate genes are classified into 12 functional categories based on their roles in CAD. Each gene includes detailed information from related studies (e.g. the size of case-control, population, SNP, odds ratio, P-value, etc.) and useful annotations, which include general gene information, Gene Ontology annotations, KEGG pathways, protein-protein interactions and others.",,https://bio.tools/cadgene
gene ontology (go),0.333,"The Gene Ontology Consortium continues to develop, maintain and use a set of structured, controlled vocabularies for the annotation of genes, gene products and sequences. Several new relationship types have been introduced and used, along with existing relationships, to create links between and within the domains. Gene product annotation continues to increase both in the number of total annotations and in species coverage. Tools have seen major improvements in functionality, speed and usage.",,https://bio.tools/gene ontology (go)
adverse drug event presentation and tracking (adept),0.333,ADEPT is a tool for a high-sensitivity natural language processing (NLP) pipeline for detecting potential adverse drug events (ADEs) with easily interpretable output for high-efficiency human review and adjudication of true ADEs.,,https://bio.tools/adverse drug event presentation and tracking (adept)
ietd,0.333,"Developing Evidence to Decision Frameworks and an Interactive Evidence to Decision Tool for Making and Using Decisions and Recommendations in Health Care | Evidence-informed health care decisions and recommendations need to be made systematically and transparently. Mediating technology can help manage boundaries between groups making decisions and target audiences, enhancing salience, credibility, and legitimacy for all. This article describes the development of the Evidence to Decision (EtD) framework and an interactive tool to create and use frameworks (iEtD) to support communication in decision making. Methods: Using a human-centered design approach, we created prototypes employing a broad range of methods to iteratively develop EtD framework content and iEtD tool functionality",,https://bio.tools/ietd
biomoby,0.333,"BioMOBY is an international research project involving biological data hosts, biological data service providers, and coders whose aim is to explore various methodologies for biological data representation, distribution, and discovery.",,https://bio.tools/biomoby
annot,0.333,"a Django-based sample, reagent, and experiment metadata tracking system.

Annot and information about what Annot is can be found here: https://gitlab.com/biotransistor/annot . This here is just tutorial material for the tutorial described here: http://annot.readthedocs.io/en/latest/man_tutorial.html .

Welcome to Annotamentum’s Documentation. — Annot 5 documentation.

Welcome to Annotamentum’s Documentation.¶.

Django admin based sample, reagent and experiment metadata tracking.

Summary: Annot is a web application, developed for biological wetlab experiment layout, sample and reagent logging, so that data is ready for sharing and analysis. On its core annot makes use of the acpipe_anjson library and acjson - assay coordinate json - file format. The use of controlled vocabulary from ontologies for sample and reagent annotation is enforced. Annot’s modular implementation can be adapted to a variety of experimental paradigms",,https://bio.tools/annot
ajia,0.333,Jointly integrating VCF-based variants and OWL-based biomedical ontologies in MongoDB.,,https://bio.tools/ajia
uniconsig,0.333,uniConSig is a genome-wide quantification of new biological and pathological functions of genes and pathways.,,https://bio.tools/uniconsig
go2vec,0.333,"transforming GO terms and proteins to vector representations via graph embeddings.

BACKGROUND:Semantic similarity between Gene Ontology (GO) terms is a fundamental measure for many bioinformatics applications, such as determining functional similarity between genes or proteins. Most previous research exploited information content to estimate the semantic similarity between GO terms; recently some research exploited word embeddings to learn vector representations for GO terms from a large-scale corpus. In this paper, we proposed a novel method, named GO2Vec, that exploits graph embeddings to learn vector representations for GO terms from GO graph. GO2Vec combines the information from both GO graph and GO annotations, and its learned vectors can be applied to a variety of bioinformatics applications, such as calculating functional similarity between proteins and predicting protein-protein interactions",,https://bio.tools/go2vec
gostag,0.333,"Given a Gene Ontology (GO) and an annotation of genes, significance of the over-representation of the genes within the ontological categories is determined by a Fisher's exact test or modeling according to a hypergeometric distribution. goSTAG uses GO subtrees to tag and annotate genes within a set. goSTAG visualizes the similarities between the over-representation of DEGs by clustering the p-values from the enrichment statistical tests and labels clusters with the GO term.",http://bioconductor.org/packages/goSTAG/,https://bio.tools/gostag
messa,0.333,"Predicting Sequence Features, Function, and Structure of Proteins Using MESSA | MEta-Server for protein Sequence Analysis (MESSA) is a tool that facilitates widespread protein sequence analysis by gathering structural (local sequence properties and three-dimensional structure) and functional (annotations from SWISS-PROT, Gene Ontology terms, and enzyme classification) predictions for a query protein of interest. MESSA uses multiple well-established tools to offer consensus-based predictions on important aspects of protein sequence analysis. Being freely available for noncommercial users and with a user-friendly interface, MESSA serves as an umbrella platform that overcomes the absence of a comprehensive tool for predictive protein analysis. This article reveals how to access MESSA via the Web and shows how to input a protein sequence to analyze using the MESSA web server",,https://bio.tools/messa
dictyexpress,0.333,"An interactive, web-based exploratory data analytics application providing access to over 1,000 Dictyostelium gene expression experiments from Baylor College of Medicine.",http://www.mybiosoftware.com/dictyexpress-1-5-dictyostelium-gene-expression-analysis.html,https://bio.tools/dictyexpress
dingo,0.333,"Standalone application for Gene Ontology and Human Phenotype Ontology term enrichment analysis.
DiNGO is a standalone application based on open source code from BiNGO a Java based tool aimed to determine which Gene Ontology (GO) categories are overrepresented in a set of genes. DiNGO is a command line application which is able to do GO and HPO term enrichment on a set of genes or proteins. DiNGO is multithreaded application which offers fast processing of large datasets. In addition, the application offers gene/protein identifiers conversion tool as well as automatic download of HPO and GO annotation resources.",https://github.com/radoslav180/DiNGO,https://bio.tools/dingo
gcocoa,0.333,A tool of the g:Profiler web server. It enables to do functional annotation for several gene lists at the same time and compare their results.,,https://bio.tools/gcocoa
ontogetroot,0.333,Get ontology root terms by child identifier.,http://emboss.open-bio.org/html/adm/ch01s01.html,https://bio.tools/ontogetroot
enrichment map cytoscape plugin,0.333,"A Cytoscape plugin for functional enrichment visualization. Gene-sets, such as pathways and Gene Ontology terms, are organized into a network (i.e. the """"enrichment map""""). In this way, mutually overlapping gene-sets cluster together, making interpretation easier. It also enables the comparison of two different enrichment results in the same map.",,https://bio.tools/enrichment map cytoscape plugin
bio.tools,0.333,The community registry of computational tools and data resources for biosciences.,https://biotools.readthedocs.io/en/latest/support.html?highlight=help,https://bio.tools/bio.tools
gotools,0.333,Wraper functions for description/comparison of oligo ID list using Gene Ontology database.,,https://bio.tools/gotools
rdrf,0.333,"The Rare Disease Registry Framework (RDRF) is an open source tool for the creation of web-based patient registries. It enables to create and modify registries without changes to the programming code. It has many features which include its ability to create multiple registries within the same framework, patients are defined once, and the ability for curators to create data elements dynamically well after the registry has been defined.",,https://bio.tools/rdrf
gocats,0.333,Advances in gene ontology utilization improve statistical power of annotation enrichment | Welcome to GOcats’ documentation! — GOcats 1.1.5 documentation,,https://bio.tools/gocats
fhir,0.333,"FHIR is a standard for health care data exchange. It is a platform specification that defines a set of capabilities use across the healthcare process, in all jurisdictions, and in lots of different contexts.",,https://bio.tools/fhir
phen2gene,0.333,"Phen2Gene is a phenotype-driven gene prioritization tool, that takes HPO (Human Phenotype Ontology) IDs as inputs, searches and prioritizes candidate causal disease genes. It is distributed under the MIT License by Wang Genomics Lab. Additionally, we have provided a web server and an associated RESTful API service for running Phen2Gene. Finally, a mobile app for Phen2Gene and several other genetic diagnostic tools from our lab is being tested and will be available soon.",https://github.com/WGLab/Phen2Gene,https://bio.tools/phen2gene
the protein ontology,0.333,"It provides an ontological representation of protein-related entities by explicitly defining them and showing the relationships between them. Each PRO term represents a distinct class of entities (including specific modified forms, orthologous isoforms, and protein complexes) ranging from the taxon-neutral to the taxon-specific.",,https://bio.tools/the protein ontology
semdist,0.333,"This package implements methods to calculate information accretion for a given version of the gene ontology and uses this data to calculate remaining uncertainty, misinformation, and semantic similarity for given sets of predicted annotations and true annotations from a protein function predictor.",http://github.com/iangonzalez/SemDist,https://bio.tools/semdist
biwalklda,0.333,"A novel algorithm based on bi-random walks to identify disease-related lncRNAs.

EMAIL: jhu@nwpu.edu.cn, yiqun.gao@nwpu-bioinformatics.com.

This program is free software: you can redistribute it and/or modify it under the terms of the GNU General Public License as published by the Free Software Foundation, either version 3 of the License, or (at your option) any later version.

BiWalkLDA.m: BiwalkLDA framework to predict potential lncRNA-disease association.

normFun.m: Laplacian normalization",,https://bio.tools/biwalklda
xenbase,0.333,The model organism database for Xenopus laevis and X. (Silurana) tropicalis.,,https://bio.tools/xenbase
goname,0.333,Find GO ontology terms by name.,http://emboss.open-bio.org/html/adm/ch01s01.html,https://bio.tools/goname
ometa,0.333,"Ontology-based, data-driven metadata tracking system.",,https://bio.tools/ometa
bgeedb,0.333,"A package for the annotation and gene expression data download from Bgee database, and TopAnat analysis: GO-like enrichment of anatomical terms, mapped to genes by expression patterns.",,https://bio.tools/bgeedb
multiloc2,0.333,"MultiLoc2 predicts animal, plant and fungal protein subcellularlocalizations by integrating phylogeny and Gene Ontology terms to the new version of the software.",http://www.mybiosoftware.com/multiloc2-20091026-predict-animal-plant-fungal-protein-subcellular-localization.html,https://bio.tools/multiloc2
viralzone,0.333,"A web resource for all viral genus and families, providing general molecular and epidemiological informations, along with virion and genome figures. Each virus or family page gives an easy access to UniProtKB/Swiss-Prot viral protein entries.",,https://bio.tools/viralzone
retina,0.333,"Design, development and deployment of a web-based interoperable registry for inherited retinal dystrophies in Portugal.

Design, Development and Deployment of a Web-Based Interoperable Registry for Inherited Retinal Dystrophies in Portugal – the IRD-PT.

Em manutenção...por favor tente mais tarde!.

If you want to know what will expect you here shortly, check out the reel:.

||| COMMON LINK WITH (PUB. & NAME DIFFERENT) bio.tools/Ribopeaks (COM.)

||| CORRECT NAME OF TOOL COULD ALSO BE 'retina.pt', 'Retina Study Group', 'registries increases', 'Retina Study'",https://www.retina.com.pt,https://bio.tools/retina
edamisid,0.333,Find EDAM ontology terms by is_identifier_of relation.,http://emboss.open-bio.org/html/adm/ch01s01.html,https://bio.tools/edamisid
ratspub,0.333,"a webservice aided by deep learning to mine PubMed for addiction-related genes.

RatsPub: Relationship with Addiction Through Searches of PubMed.

RatsPub searches PubMed to find sentences that contain the query terms (e.g., gene symbols) and a drug addiction related keyword. Over 300 of these keywords are organized into six categories:.

RatsPub is a tool to efficiently and comprehensively answer the question ""What do we know about these genes and addiction?"".

RatsPub answers this question by searching PubMed to find sentences containing the query terms (i.e., gene symbols) and over 300 drug addiction-related keywords that are organized into six categories. Data from NHGRI-EBI GWAS catalog are also included in the search. These gene-keyword relationships are presented as an interactive graph and a table.",http://rats.pub,https://bio.tools/ratspub
loinc2hpo,0.333,Annotation tool that recommends candidate Human Phenotype Ontology (HPO) terms to a LOINC (Laboratory Observation Identifier Names and Codes) test based on lexical matching between HPO term definitions and the name of a laboratory test.,https://github.com/TheJacksonLaboratory/loinc2hpoAnnotation/issues,https://bio.tools/loinc2hpo
generic go term mapper,0.333,"A tool for mapping the granular GO annotations for genes in a list to a set of broader, high-level GO parents terms.",,https://bio.tools/generic go term mapper
ontology lookup service,0.333,Repository for biomedical ontologies that aims to provide a single point of access to the latest ontology versions. Users can browse the ontologies through the web interface and programatic access is provided via a RESTful API.,https://github.com/EBISPOT/OLS/,https://bio.tools/ontology lookup service
agrigo,0.333,"Integrated gene ontology analysis toolkit for the agriculture community. Supported organisms and gene identifiers were expanded over EasyGO tool, and several tools for predicting gene function are included.",,https://bio.tools/agrigo
goa_gubbar,0.333,Sorts protein identifications under GOA slim terms.,http://ms-utils.org,https://bio.tools/goa_gubbar
gsan,0.333,Gene Set Annotation - an alternative to enrichment analysis for annotating gene sets.,https://gsan.labri.fr/start,https://bio.tools/gsan
ontogetobsolete,0.333,Get ontology ontology terms.,http://emboss.open-bio.org/html/adm/ch01s01.html,https://bio.tools/ontogetobsolete
gomcl,0.333,"A toolkit to cluster, evaluate, and extract non-redundant associations of Gene Ontology-based functions.

GOMCL is a tool to cluster and extract summarized associations of Gene Ontology based functions in omics data. It clusters GO terms using MCL based on overlapping ratios, OC (Overlap coefficient) or JC (Jaccard coefficient). The resulting clusters can be further analyzed and separated into sub-clusters using a second script, GOMCL-sub. This tool helps researchers to reduce time spent on manual curation of large lists of GO terms and minimize biases introduced by shared GO terms in data interpretation.",https://github.com/Guannan-Wang/GOMCL,https://bio.tools/gomcl
go-figure,0.333,"Summary Visualisations of Gene Ontology Terms with GO-Figure!.

GO-Figure! offers a simple solution for command-line plotting of informative summary visualisations of lists of GO terms, designed to support exploratory data analyses and multiple dataset comparisons.",,https://bio.tools/go-figure
edamdef,0.333,Find EDAM ontology terms by definition.,http://emboss.open-bio.org/html/adm/ch01s01.html,https://bio.tools/edamdef
asa-ps,0.333,"Development and validation of a predictive model for American Society of Anesthesiologists Physical Status.

BACKGROUND:The American Society of Anesthesiologists Physical Status (ASA-PS) classification system was developed to categorize the fitness of patients before surgery. Increasingly, the ASA-PS has been applied to other uses including justification of inpatient admission. Our objectives were to develop and cross-validate a statistical model for predicting ASA-PS; and 2) assess the concurrent and predictive validity of the model by assessing associations between model-derived ASA-PS, observed ASA-PS, and a diverse set of 30-day outcomes. METHODS:Using the 2014 American College of Surgeons National Surgical Quality Improvement Program (ACS NSQIP) Participant Use Data File, we developed and internally cross-validated multinomial regression models to predict ASA-PS using preoperative NSQIP data. Accuracy was assessed with C-Statistics and calibration plots",,https://bio.tools/asa-ps
superfamily,0.333,"It provides protein domain assignments at the structural classification of protein superfamily level for completely sequenced genomes, metagenomes and other gene collections such as UniProt. Our scoring component now uses HMMER3. A cloud-based pipeline was implemented and is publicly available. The SUPERFAMILY reference tree of life has been improved allowing the user to highlight a chosen superfamily, family or domain architecture on the tree of life.",,https://bio.tools/superfamily
gosim,0.333,This package implements several functions useful for computing similarities between GO terms and gene products based on their GO annotation. Moreover it allows for computing a GO enrichment analysis.,,https://bio.tools/gosim
the comparative toxicogenomics database (ctd),0.333,"Curated database about the interaction of environmental chemicals with gene products, and their effects on human health. New features include statistical analyses and analytical tools, including GeneComps and ChemComps, enriched Gene Ontology terms associated with chemicals, statistically ranked chemical-disease inferences, Venn diagram tools to discover overlapping and unique attributes of any set of chemicals, genes or disease, and enhanced gene pathway data content, among other features.",,https://bio.tools/the comparative toxicogenomics database (ctd)
gotrapper,0.333,Tool to navigate through branches of gene ontology hierarchy.,,https://bio.tools/gotrapper
rols,0.333,An interface to the Ontology Lookup Service (OLS) to access and query hundred of ontolgies directly from R.,http://lgatto.github.com/rols/,https://bio.tools/rols
neuroscience information framework,0.333,"A dynamic inventory of Web-based neuroscience resources: data, materials, and tools accessible via any computer connected to the Internet. An initiative of the NIH Blueprint for Neuroscience Research, the Neuroscience Information Framework advances neuroscience research by enabling discovery and access to public research data and tools worldwide through an open source, networked environment.",,https://bio.tools/neuroscience information framework
g:profiler,0.333,Public web server with several tools to perform functional enrichment analyses and mine additional information about gene functions. The used data is synchronized with Ensembl database in quarterly updates.,https://biit.cs.ut.ee/gprofiler/page/contact,https://bio.tools/g:profiler
magecomet,0.333,"An online tool that facilitates curation of MAGE-TAB. It combines text-mining and the Experimental Factor Ontology (EFO) to create a semi-automatic environment for faster annotation, guided data-manipulation and content summary.",http://www.ebi.ac.uk/support/,https://bio.tools/magecomet
gfbio,0.333,"The German Federation for Biological Data was established as a sustainable, national infrastructure to facilitate data sharing for the biological environmental sciences. It supports the complete life cycle of research data management, from planning, through acquisition, to publication. Research data are constantly increasing in both size and complexity, offering not only new analytical possibilities, but also posing new challenges to data processing, integration and safeguarding.",,https://bio.tools/gfbio
hmtvar,0.333,"A data and text mining pipeline to annotate human mitochondrial variants with functional and clinical information.

The main web resource to explore human mitochondrial variability data and their pathological correlation.

HmtVar is a manually-curated database offering variability and pathogenicity information about mtDNA variants.

Data are gathered from HmtVar's twin database HmtDB, and further integrated with pathogenicity predictions as well as additional information from several online resources focused on mtDNA, such as MITOMAP, 1000 Genomes Project, MutPred, SNPs&GO and many others.",,https://bio.tools/hmtvar
pomelo ii,0.333,"Pomelo II is a web-server for the analysis of gene (and protein) expression and tissue array data. Different statistical tests are applied depending on the input data. Links are also provided to additional sources of information such as PubMed references, Gene Ontology terms, GO terms, etc.",,https://bio.tools/pomelo ii
bel commons,0.333,Environment for exploration and analysis of networks encoded in Biological Expression Language.,https://github.com/bel-commons,https://bio.tools/bel commons
ontocat,0.333,"This package provides a simple interface to ontologies described in widely used standard formats, stored locally in the filesystem or accessible online.",,https://bio.tools/ontocat
seqhound,0.333,A freely available bioinformatics database warehouse resource that collects bioinformatics data from a number of sources including the National Center for Biotechnology Information and the Gene Ontology Consortium. It is designed for programmers who need unrestricted access to up-to-date data.,http://www.mybiosoftware.com/seqhound-3-02-bioinformatics-database-warehouse-resource.html,https://bio.tools/seqhound
arachnoserver,0.333,"ArachnoServer is a manually curated database providing information on the sequence, structure and biological activity of protein toxins from spider venoms. Key features of ArachnoServer include a molecular target ontology designed specifically for venom toxins, current and historic taxonomic information and a powerful advanced search interface.",,https://bio.tools/arachnoserver
seqexpress,0.333,"Comprehensive analysis and visualisation package for gene expression experiments. It is used to assign functional enrichment scores to clusters, using a combination of specially developed techniques and general statistical methods. These results can be explored using the in built ontology browsing tool or through the generated web pages.",http://www.mybiosoftware.com/seqexpress-1-3-2-analysis-desktop-visualisation-program-gene-expression-experiments.html,https://bio.tools/seqexpress
gonet,0.333,Tool for interactive Gene Ontology analysis.,https://github.com/mikpom/gonet,https://bio.tools/gonet
amigo 2,0.333,The GO Consortium GO browser and search engine.,,https://bio.tools/amigo 2
quickgo,0.333,A fast browser for Gene Ontology terms and annotations.,,https://bio.tools/quickgo
jmztab-m,0.333,Reference implementation for mzTab 2.0 for metabolomics,https://github.com/lifs-tools/jmzTab-m,https://bio.tools/jmztab-m
go enrichment analysis tool,0.333,A tool for GO term enrichment analysis.,,https://bio.tools/go enrichment analysis tool
list ontologies,0.333,This service returns the Ontologies registered on the NIF Ontoquest Server.,https://www.biocatalogue.org/services/2713,https://bio.tools/list ontologies
karma,0.333,"Allows you compare and annotate your own microarrays against other available arrays.  Comparison of arrays can be achieved within the same species as well as across species (array comparison is based on UniGene Cluster ID and/or Homologene data).  Annotation data includes LocusLink, SwissProt, and Gene Ontology.",,https://bio.tools/karma
ontoisobsolete,0.333,Report whether an ontology term id is obsolete.,http://emboss.open-bio.org/html/adm/ch01s01.html,https://bio.tools/ontoisobsolete
protein naming utility,0.333,"Web-based database for storing and applying naming rules to identify and correct syntactically incorrect protein names, or to replace synonyms with their preferred name. It allows users to generate and manage collections of naming rules, optionally building upon the growing body of rules generated at the J. Craig Venter Institute (JCVI). Users can check their protein names against a selected collection, generating both statistics and corrected names.",,https://bio.tools/protein naming utility
jprogo,0.333,Tool for the functional interpretation of prokaryotic microarray data using Gene Ontology information.,,https://bio.tools/jprogo
ivariantguide,0.333,"Web-based application that provides variant assessment, interactive pathway impact analysis of genetic variants, as well as a unique Gene Ontology (GO) analysis.",,https://bio.tools/ivariantguide
icrf generator,0.333,"Generating interoperable electronic case report forms using online codebooks.

Semantic interoperability of clinical data requires the use of a common vocabulary, such as SNOMED-CT. Unfortunately, mapping data to such a terminology is time-consuming and requires expert knowledge of both the dataset and the terminology. A viable alternative can be the reuse of codebooks - published dataset definitions which, in some cases, have already been mapped to a terminology. We designed the iCRF Generator, a tool which makes it easy to generate interoperable electronic Case Report Forms for (currently) three major EDCs: OpenClinica 3, Castor and REDCap. The tool currently provides access to several codebooks stored online in Art-Decor, such as:.",,https://bio.tools/icrf generator
easy-hla,0.333,"A validated web application suite to reveal the full details of HLA typing.

Nomenclature for Factors of the HLA System.

The WHO Nomenclature Committee for Factors of the HLA System comprises the following individuals:.

EasyMatch-R is a tool designed to find unrelated donors in silico. We aim to improve efficiency by saving time and resources in HLA labs. From a patient’s HLA typing in input, Easymatch-R displays probability of finding a potential unrelated bone marrow donor according to the required matching level. In addition to the number of expected donors, Easymatch-R provides complementary typings recomendations.
HLA-Upgrade uses the power of haplotypes to predict full high resolution HLA-A, B, C, DRB1, DQB1 genotypes.",http://hla.alleles.org/nomenclature/committee.html,https://bio.tools/easy-hla
ikap_cells,0.333,"IKAP - Identifying K mAjor cell Population groups in single-cell RNA-seq analysis.

IKAP – Identifying K mAjor cell Population groups in single-cell RNA-seq analysis.

Note: IKAP will, by default, regress out the percentage of mitochondrial gene counts and total UMI counts and scale the expression matrix using Seurat ScaleData function. These two values should be save in Seurat metadata with column names 'percent.mito' and 'nUMI' respectively. If you want to regress out different confounding variables or use different column names, please save these variables in Seurat metadata and set 'confounders' (an IKAP parameter) as their column names in the Seurat metadata data frame.",,https://bio.tools/ikap_cells
plant experimental assay ontology (peao),0.333,"The Plant domain has been the subject of several attempts to structure and formally define terms and corresponding relations, such as their anatomical features, developmental stages, and the application of particular experimental procedures to a biological problem.  An ontology dedicated to the description of these experimental procedures, regardless of the scientific questions that prompted the assays. This ontology includes entities from three distinct realms (biological, physical and data), which include both experimental products, their relations and the protocols describing their manipulation.",https://bitbucket.org/PlantExpAssay/ontology/issues?status=new&status=open,https://bio.tools/plant experimental assay ontology (peao)
predictprotein open,0.333,Prediction of various aspects of protein structure and function. A user may submit a query to the server without registration.,,https://bio.tools/predictprotein open
ontogetdown,0.333,Get ontology term(s) by parent id.,http://emboss.open-bio.org/html/adm/ch01s01.html,https://bio.tools/ontogetdown
diversityscientificterms,0.333,"DiversityScientificTerms (DWB-DST) is an application of Diversity Workbench (DWB). It might be installed as part of a DWB environment, but also as a stand-alone application, e. g., in a local installation. Each DWB module is devoted to a specific data domain. DST is focussed on the management of collections of scientific terms and term concepts, i. e., particular domain-specific  terminologies, glossaries and vocabularies (e.g. biostratigraphy, anatomical terminology). DST is able to organise terms together with synonyms, common names and equivalent  terms ín different languages. The single terms are defined, (hierarchically) classified and referenced, for example, by linking online resources and external identifiers.",https://diversityworkbench.net/Portal/Support,https://bio.tools/diversityscientificterms
snomed ct,0.333,"Web-based browser with comprehensive, scientifically validated clinical healthcare terminology. Enables consistent representation of clinical content in electronic health records.",,https://bio.tools/snomed ct
ontoquest ws,0.333,Download a NIF ontology file.,https://www.biocatalogue.org/services/2722,https://bio.tools/ontoquest ws
sts-nlsp,0.333,"A Network-Based Label Space Partition Method for Predicting the Specificity of Membrane Transporter Substrates Using a Hybrid Feature of Structural and Semantic Similarity.

codes for the membrane transporter paper.

codes for membrane transporter paper:.

model_training_*.py are codes for parameter tuning in a server",,https://bio.tools/sts-nlsp
poeas,0.333,Plant ontology enrichment analysis server. The server uses a simple list of genes as an input and perform enrichment analysis and provide results in two levels: a table with enrichment results and a visulaization utilitity to generate ontological graphs that can be used in publications.,http://www.mybiosoftware.com/poeas-plant-ontology-enrichment-analysis-server.html,https://bio.tools/poeas
hgv_david,0.333,This tool provides functional annotation for a list of genes by connecting with DAVID database.,https://galaxy.pasteur.fr/tool_runner?tool_id=hgv_david,https://bio.tools/hgv_david
genome trax,0.333,A search tool for finding variants from specific chromosome coordinates. It is possible to integrate the results in NGS pipeline.,,https://bio.tools/genome trax
chebi ws,0.333,"Chemical Entities of Biological Interest (ChEBI) is a freely available dictionary of molecular entities focused on ‘small’ chemical compounds. ""Molecular entity"" includes any constitutionally or isotopically distinct atom, molecule, ion, ion pair, radical, radical ion, complex, conformer, etc., identifiable as a separately distinguishable entity.",https://www.biocatalogue.org/services/2174,https://bio.tools/chebi ws
cbo,0.333,"Cell Behavior Ontology, is designed to describe multi-cell computational models. In particular to describe both the existential behaviors of cells (spatiality, growth, movement, adhesion, death, …) and computational models of those behaviors. It is an OWL-2 ontology developed in Protégé 4.",http://www.mybiosoftware.com/cbo-1-0-1-describing-the-intrinsic-biological-behaviors-of-real-and-model-cells.html,https://bio.tools/cbo
nbrp resources,0.333,"System for collecting, preserving and providing bioresources for use as experimental materials for life science research.",,https://bio.tools/nbrp resources
bipom,0.333,BiPOm is a rule-based ontology to represent and infer molecule knowledge from a biological process-centered viewpoint.,http://bioportal.bioontology.org/ontologies/BIPOM,https://bio.tools/bipom
morphdb,0.333,"Prioritizing Genes for Specialized Metabolism Pathways and Gene Ontology Categories in Plants.

1. MORPH bulk run command line interface.

Get MORPH candidate gene predictions for your gene(s) of interest.

2. Install morph-bulk using Singularity (recommended).

Get MORPH candidate gene predictions for your pathway or GO term of interest for your favourite organism(s). Make a MORPH network for your process of interest.

3. Install morph-bulk the classical way.

Perform complex SPARQL queries on MORPH prediction data.

rdf Generate RDF graph (for MorphDB).",https://github.com/arzwa/morph-bulk,https://bio.tools/morphdb
locdb,0.333,"Manually curated database with experimental annotations for the subcellular localizations of proteins in Homo sapiens (HS, human) and Arabidopsis thaliana (AT, thale cress). Each database entry contains the experimentally derived localization in Gene Ontology (GO) terminology, the experimental annotation of localization, localization predictions by state-of-the-art methods and, where available, the type of experimental information.",,https://bio.tools/locdb
ictnet2,0.333,"Integrated Complex Traits Networks. Database that allows researchers to build heterogeneous networks by integrating a variety of biological interactions, thus offering a systems-level view of human complex traits.",https://github.com/LiliWangQueensu/iCTNet2_v2,https://bio.tools/ictnet2
gene ontology browser,0.333,Gene Ontology Browser (GOBrowser) is an interactive tool for mapping microarray gene expression data onto the GeneOntology directed acyclic graph.,http://www.mybiosoftware.com/gene-ontology-browser-0-92-map-microarray-gene-expression-data-geneontology.html,https://bio.tools/gene ontology browser
g-sesame,0.333,"G-SESAME is a suite of online tools for measuring the semantic similarities of Gene Ontology (GO) terms and the functional similarities of gene products, as well as data mining the GO database.",,https://bio.tools/g-sesame
gpannotate,0.333,"Rendering glycans and annotating glycopeptide mass spectra.

Find information on common issues.

Ask questions and find answers from other users.

gpAnnotate: A program for the detailed annotation of MS/MS glycoproteomics spectra using DrawGlycan-SNFG sketches.

The Glycopeptide Spectrum Annotation program ( gpAnnotate ) is designed to annotate individual glycoproteomics MS/MS spectrum for several established mass spectrometry fragmentation modes:",,https://bio.tools/gpannotate
ontobrowser,0.333,"The tool was developed to manage ontologies (and controlled terminologies e.g. CDISC SEND). The primary goal of the tool is to provide an online collaborative solution for expert curators to map code list terms (sourced from multiple systems/databases) to preferred ontology terms. Other key features include visualisation of ontologies in hierarchical/graph format, advanced search capabilities, peer review/approval workflow and web service access to data.",https://github.com/Novartis/ontobrowser,https://bio.tools/ontobrowser
ipd project,0.333,"A centralised resource for the study of polymorphism in genes of the immune system.

The Immuno Polymorphism Database.

IPD was developed in 2003 to provide a centralised system for the study of polymorphism in genes of the immune system. The IPD project was established by the HLA Informatics Group of the Anthony Nolan Research Institute in close collaboration with the European Bioinformatics Institute.",,https://bio.tools/ipd project
argminer,0.333,ARGminer is a web platform dedicated to the validation of ARGs by using sequence alignment and evidence from multiple sources.,,https://bio.tools/argminer
nbdc rdf portal,0.333,Comprehensive repository for semantic data in life sciences.,,https://bio.tools/nbdc rdf portal
ontoproc,0.333,"Support harvesting of diverse bioinformatic ontologies, making particular use of the ontologyIndex package on CRAN. We provide snapshots of key ontologies for terms about cells, cell lines, chemical compounds, and anatomy, to help analyze genome-scale experiments, particularly cell x compound screens. Another purpose is to strengthen development of compelling use cases for richer interfaces to emerging ontologies.",http://bioconductor.org/packages/ontoProc/,https://bio.tools/ontoproc
deepred,0.333,Automated Protein Function Prediction with Multi-task Feed-forward Deep Neural Networks.,https://github.com/cansyl/DEEPred/issues,https://bio.tools/deepred
ontotext,0.333,Get ontology term(s) original full text.,http://emboss.open-bio.org/html/adm/ch01s01.html,https://bio.tools/ontotext
mousebook,0.333,"The database and web portal provide access to information about mutant mouse lines held as live or cryopreserved stocks at MRC Harwell. It portal integrates curated information from the MRC Harwell stock resource, and other Harwell databases, with information from external data resources to provide value-added information.",,https://bio.tools/mousebook
