Tool,keywords_score,Description,Topics,Operations,Inputs,Outputs,Type,Citations,URL,biotoolsID,License,keyword_rank,citations_rank,comp_score
Annot,0.250,"a Django-based sample, reagent, and experiment metadata tracking system.

Annot and information about what Annot is can be found here: https://gitlab.com/biotransistor/annot . This here is just tutorial material for the tutorial described here: http://annot.readthedocs.io/en/latest/man_tutorial.html .

Welcome to Annotamentum’s Documentation. — Annot 5 documentation.

Welcome to Annotamentum’s Documentation.¶.

Django admin based sample, reagent and experiment metadata tracking.

Summary: Annot is a web application, developed for biological wetlab experiment layout, sample and reagent logging, so that data is ready for sharing and analysis. On its core annot makes use of the acpipe_anjson library and acjson - assay coordinate json - file format. The use of controlled vocabulary from ontologies for sample and reagent annotation is enforced. Annot’s modular implementation can be adapted to a variety of experimental paradigms","['Proteomics', 'Microarray experiment', 'Data submission, annotation and curation', 'Gene expression', 'Ontology and terminology']","['Sequence annotation', 'Phylogenetic tree annotation', 'Data retrieval', 'Image annotation']",[],[],[],0.0,,Annot,,554.0,225.0,422.4
ontocount,0.250,Count ontology term(s).,['Ontology and terminology'],['Data retrieval'],[],"[{'data': {'term': 'ontology metadata', 'uri': 'http://edamontology.org/data_2223'}}]",['Command-line tool'],5623.0,http://emboss.open-bio.org/html/adm/ch01s01.html,ontocount,GPL-3.0,554.0,643.0,589.5999999999999
agriGO,0.250,"Integrated gene ontology analysis toolkit for the agriculture community. Supported organisms and gene identifiers were expanded over EasyGO tool, and several tools for predicting gene function are included.","['Model organisms', 'Function analysis', 'Gene transcripts', 'Gene expression', 'Ontology and terminology']","['Over-representation analysis', 'Gene prediction', 'Gene functional annotation', 'Gene-set enrichment analysis']",[],[],['Web application'],1692.0,,agrigo,,554.0,619.0,580.0
hipathia,0.250,Hipathia is a method for the computation of signal transduction along signaling pathways from transcriptomic data. The method is based on an iterative algorithm which is able to compute the signal intensity passing through the nodes of a network by taking into account the level of expression of each gene and the intensity of the signal arriving to it. It also provides a new approach to functional analysis allowing to compute the signal arriving to the functions annotated to each pathway.,"['Gene expression', 'Ontology and terminology', 'Molecular interactions, pathways and networks']",['Pathway or network prediction'],[],[],['Library'],19.0,http://bioconductor.org/packages/hipathia/,hipathia,GPL-2.0,554.0,443.0,509.6
LION-web,0.250,Web-based ontology enrichment tool for lipidomic data analysis.,"['Lipids', 'Ontology and terminology', 'Biophysics']","['Enrichment analysis', 'Deisotoping', 'Formatting']",[],[],['Web application'],16.0,https://github.com/martijnmolenaar/LION-web/issues,LION-web,GPL-3.0,554.0,429.0,504.0
rols,0.250,An interface to the Ontology Lookup Service (OLS) to access and query hundred of ontolgies directly from R.,['Ontology and terminology'],['Classification'],"[{'data': {'term': 'ontology term', 'uri': 'http://edamontology.org/data_0966'}, 'format': {'term': 'html', 'uri': 'http://edamontology.org/format_2331'}}]","[{'data': {'term': 'ontology data', 'uri': 'http://edamontology.org/data_2353'}, 'format': {'term': 'html', 'uri': 'http://edamontology.org/format_2331'}}]","['Command-line tool', 'Library']",1245.0,http://lgatto.github.com/rols/,rols,GPL-2.0,554.0,614.0,578.0
Orphanet Rare,0.250,"An ontological foundation for ocular phenotypes and rare eye diseases.

The portal for rare diseases and orphan drugs.

Orphanet is a unique resource, gathering and improving knowledge on rare diseases so as to improve the diagnosis, care and treatment of patients with rare diseases. Orphanet aims to provide high-quality information on rare diseases, and ensure equal access to knowledge for all stakeholders. Orphanet also maintains the Orphanet rare disease nomenclature (ORPHAcode), essential in improving the visibility of rare diseases in health and research information systems.","['Personalised medicine', 'Rare diseases', 'Genotype and phenotype', 'Ontology and terminology', 'Public health and epidemiology']",['Standardisation and normalisation'],[],[],['Database portal'],5.0,,orphanet_rare,,554.0,364.0,478.0
GsVec,0.250,"Comprehensive biological interpretation of gene signatures using semantic distributed representation.

GsVec (Gene signature Vector) is an analysis method that supports the biological interpretation of Gene signature obtained by gene expression analysis of Bioinformatics. The association between the gene signature to be interpreted and the gene signature of the Pathway / Gene Ontology data base is performed by natural language processing","['Natural language processing', 'Microarray experiment', 'Molecular interactions, pathways and networks', 'Gene expression', 'Ontology and terminology']","['Pathway or network comparison', 'Essential dynamics', 'Gene-set enrichment analysis']",[],[],['Command-line tool'],0.0,,GsVec,GPL-2.0,554.0,225.0,422.4
ADOPT BBMRI-ERIC,0.250,"Pan-European Data Harmonization for Biobanks in ADOPT BBMRI-ERIC.

The Samply.MDR-based ETL tools from ADOPT BBMRI-ERIC.","['Personalised medicine', 'Oncology', 'Workflows', 'Ontology and terminology', 'Biobank']","['Anonymisation', 'Formatting', 'Parsing']",[],[],[],0.0,,adopt_bbmri-eric,GPL-3.0,554.0,225.0,422.4
CoExp Web,0.250,"CoExp Webpage is a web platform that enables the exploitation of co-expression networks. CoExp currently offers 109 co-expression models focused on brain transcriptomics with plans to expand its scope. It is a powerful, easy to use and innovative tool for gene set annotation across a variety of brain specific transcriptomicdata sets. CoExp makes co-expression models visually manageable, accessible and easily exploitable to the scientific community.","['Genetics', 'Cell biology', 'Ontology and terminology']","['Visualisation', 'Network analysis', 'Expression correlation analysis']",[],[],['Web application'],0.0,https://github.com/SoniaRuiz/CoExp_Web,coexp-web,Apache-2.0,554.0,225.0,422.4
iCRF Generator,0.250,"Generating interoperable electronic case report forms using online codebooks.

Semantic interoperability of clinical data requires the use of a common vocabulary, such as SNOMED-CT. Unfortunately, mapping data to such a terminology is time-consuming and requires expert knowledge of both the dataset and the terminology. A viable alternative can be the reuse of codebooks - published dataset definitions which, in some cases, have already been mapped to a terminology. We designed the iCRF Generator, a tool which makes it easy to generate interoperable electronic Case Report Forms for (currently) three major EDCs: OpenClinica 3, Castor and REDCap. The tool currently provides access to several codebooks stored online in Art-Decor, such as:.","['Workflows', 'Tomography', 'Ontology and terminology', 'Pathology']","['Editing', 'Parsing', 'Standardisation and normalisation']",[],[],"['Command-line tool', 'Script']",0.0,,icrf_generator,GPL-3.0,554.0,225.0,422.4
MageComet,0.250,"An online tool that facilitates curation of MAGE-TAB. It combines text-mining and the Experimental Factor Ontology (EFO) to create a semi-automatic environment for faster annotation, guided data-manipulation and content summary.","['Data architecture, analysis and design', 'Data mining']",['Annotation'],[],[],['Web application'],1.0,http://www.ebi.ac.uk/support/,magecomet,,554.0,271.0,440.79999999999995
genepanel.iobio,0.250,"An easy to use web tool for generating disease- and phenotype-associated gene lists.

Genepanel.iobio: generate list of genes based on suspected conditions and phenotypes.

To watch for client-side file changes, open up a new terminal window and npm run webpack.

NODE_ENV=production npm run build.","['Genomics', 'Exome sequencing', 'Rare diseases', 'Genotype and phenotype', 'Pathology', 'Ontology and terminology']","['Aggregation', 'Variant prioritisation', 'DNA testing']",[],[],['Web application'],0.0,https://github.com/iobio/genepanel.iobio,genepanel.iobio,,554.0,225.0,422.4
iEtD,0.250,"Developing Evidence to Decision Frameworks and an Interactive Evidence to Decision Tool for Making and Using Decisions and Recommendations in Health Care | Evidence-informed health care decisions and recommendations need to be made systematically and transparently. Mediating technology can help manage boundaries between groups making decisions and target audiences, enhancing salience, credibility, and legitimacy for all. This article describes the development of the Evidence to Decision (EtD) framework and an interactive tool to create and use frameworks (iEtD) to support communication in decision making. Methods: Using a human-centered design approach, we created prototypes employing a broad range of methods to iteratively develop EtD framework content and iEtD tool functionality","['Ontology and terminology', 'Medicines research and development']",[],[],[],['Web application'],0.0,,iEtD,,554.0,225.0,422.4
HmtVar,0.250,"A data and text mining pipeline to annotate human mitochondrial variants with functional and clinical information.

The main web resource to explore human mitochondrial variability data and their pathological correlation.

HmtVar is a manually-curated database offering variability and pathogenicity information about mtDNA variants.

Data are gathered from HmtVar's twin database HmtDB, and further integrated with pathogenicity predictions as well as additional information from several online resources focused on mtDNA, such as MITOMAP, 1000 Genomes Project, MutPred, SNPs&GO and many others.","['Natural language processing', 'Genotype and phenotype', 'Pathology', 'Cell biology', 'Workflows']","['Query and retrieval', 'Variant calling', 'Virulence prediction', 'Text annotation', 'Text mining']",[],[],['Web API'],1.0,,HmtVar,,554.0,271.0,440.79999999999995
PlantCircNet,0.250,"PlantCircNet is a database that provides plant circRNA-miRNA-gene regulatory networks, as well as circRNA information and circRNA expression profiles. It provides convenient search functions for circRNA-associated regulatory networks and enables users to retrieve regulatory interactions of interest by circRNAs, miRNAs and mRNAs across eight model species. Sequences search is also available. And an enrichment analysis tool has been provided for Gene Ontology categories of miRNA targets.","['Plant biology', 'Functional, regulatory and non-coding RNA', 'Molecular interactions, pathways and networks', 'Gene transcripts', 'Ontology and terminology']","['Pathway or network visualisation', 'miRNA target prediction', 'Enrichment analysis', 'miRNA expression analysis', 'Database search']",[],[],[],17.0,,PlantCircNet,,554.0,434.0,506.0
GOnet,0.250,Tool for interactive Gene Ontology analysis.,"['Ontology and terminology', 'Proteomics', 'Molecular interactions, pathways and networks']","['Enrichment analysis', 'Data retrieval']",[],[],['Web application'],24.0,https://github.com/mikpom/gonet,GOnet,LGPL-3.0,554.0,460.0,516.4
VIO,0.250,"ontology classification and study of vaccine responses given various experimental and analytical conditions.

VIO: Vaccine Investigation Ontology.

Statistics of Vaccine Investigation Ontology.

IRI: https://raw.githubusercontent.com/vaccineontology/VIO/master/src/ontology/vio.owl.

VIO and its usage in studying Yellow Fever vaccine-induced host response were presented in the VDOS-2018 workshop: https://sites.google.com/site/vdosworkshop/VDOS-2018.

Note: This version of statistics metrics does not include any instance data yet. This feature will be added in the future","['Preclinical and clinical studies', 'Allergy, clinical immunology and immunotherapeutics', 'Transcriptomics', 'Molecular interactions, pathways and networks', 'Ontology and terminology']","['Enrichment analysis', 'DNA vaccine design', 'Standardisation and normalisation', 'Deposition']",[],[],[],1.0,https://github.com/vaccineontology/VIO,VIO,,554.0,271.0,440.79999999999995
CLIN-IK-LINKS,0.250,"CLIN-IK-LINKS is a web-based platform that enables users to create, modify and delete mappings as well as to define and execute workflows. The CLIN-IK-LINKS platform allows the composition and execution of clinical data transformation workflows to convert EHR data into EHR and/or semantic web standards.","['Mapping', 'Workflows', 'Ontology and terminology']",[],[],[],['Web application'],1.0,,clin-ik-links,,554.0,271.0,440.79999999999995
SCORE,0.250,"a consensus tool for detecting differentially expressed genes in bacteria.

Smart Consensus Of RNA Expression pipelines.","['Gene expression', 'RNA-Seq', 'Workflows', 'Ontology and terminology']","['Enrichment analysis', 'RNA-Seq analysis', 'RNA-Seq quantification', 'Differential gene expression analysis']",[],[],[],0.0,,score-gene,GPL-3.0,554.0,225.0,422.4
G2G,0.250,G2G is a tool to predict genetic interactions that is based on mapping genes to Gene Ontology (GO) terms and using this mapping for genotype to phenotype predictions.,"['Model organisms', 'Gene expression', 'Molecular interactions, pathways and networks', 'Mapping', 'Ontology and terminology']","['Protein interaction prediction', 'Gene prediction', 'Protein interaction network prediction']",[],[],['Web application'],0.0,,g2g,,554.0,225.0,422.4
KEGGanim,0.250,Web-based tool for visualizing experimental data in the context of biological pathways. It produces animations or static images of KEGG pathways by overlaying public or user uploaded high-thourghput data over handdrawn KEGG pathway maps.,"['Data visualisation', 'Ontology and terminology', 'Systems biology', 'Molecular interactions, pathways and networks']","['Sample comparison', 'Pathway or network visualisation', 'Filtering']","[{'data': {'term': 'experimental measurement', 'uri': 'http://edamontology.org/data_3108'}, 'format': {'term': 'annotated text format', 'uri': 'http://edamontology.org/format_3780'}}]","[{'data': {'term': 'image', 'uri': 'http://edamontology.org/data_2968'}, 'format': {'term': 'image format', 'uri': 'http://edamontology.org/format_3547'}}]",['Web application'],24.0,,kegganim,Freeware,554.0,460.0,516.4
RuleGO,0.250,RuleGO is a web tool for description of gene groups by means of Gene Ontology. The user is able to describe gene groups on the basis of logical rules that include GO-terms in their premises.,"['Gene expression', 'Ontology and terminology', 'Gene and protein families']","['Sequence annotation', 'Gene expression profiling']",[],[],['Web application'],11.0,,rulego,,554.0,405.0,494.4
genoDraw,0.250,"A Web Tool for Developing Pedigree Diagrams Using the Standardized Human Pedigree Nomenclature Integrated with Biomedical Vocabularies.

The integration of genetic information in current clinical routine has raised a need for tools to exploit family genetic knowledge. On the clinical side, an application for managing and visualizing pedigree diagrams could provide genetics specialists with an integrated environment with potential positive impact on their current practice.","['Genetics', 'Human biology', 'Ontology and terminology']",[],[],[],['Web application'],0.0,,pub2tools2020__genodraw,,554.0,225.0,422.4
jmztab-m,0.250,Reference implementation for mzTab 2.0 for metabolomics,"['Metabolomics', 'Data submission, annotation and curation', 'Ontology and terminology']","['Loading', 'Format validation', 'Formatting']","[{'data': {'term': 'ontology mapping', 'uri': 'http://edamontology.org/data_3509'}, 'format': {'term': 'xml', 'uri': 'http://edamontology.org/format_2332'}}]","[{'data': {'term': 'mass spectrometry data', 'uri': 'http://edamontology.org/data_2536'}, 'format': {'term': 'mztab', 'uri': 'http://edamontology.org/format_3681'}}]","['Command-line tool', 'Library']",2.0,https://github.com/lifs-tools/jmzTab-m,jmztab-m,Apache-2.0,554.0,305.0,454.4
ontotext,0.250,Get ontology term(s) original full text.,['Ontology and terminology'],['Data retrieval'],[],"[{'data': {'term': 'ontology term', 'uri': 'http://edamontology.org/data_0966'}}]",['Command-line tool'],5623.0,http://emboss.open-bio.org/html/adm/ch01s01.html,ontotext,GPL-3.0,554.0,643.0,589.5999999999999
Alliance Genome Resources,0.250,A modern data ecosystem for model organism databases.,"['Database management', 'Model organisms', 'Data governance', 'Literature and language', 'Ontology and terminology']","['Database search', 'Data retrieval', 'Deposition']",[],[],['Database portal'],6.0,https://github.com/alliance-genome/,alliance-genome,,554.0,376.0,482.79999999999995
COMBIgor,0.250,Data-Analysis Package for Combinatorial Materials Science.,"['Imaging', 'Ontology and terminology', 'Environmental science']","['Parsing', 'Deposition']",[],[],['Desktop application'],15.0,https://github.com/NREL/COMBIgor/,COMBIgor,Other,554.0,424.0,502.0
SUPERFAMILY,0.250,"It provides protein domain assignments at the structural classification of protein superfamily level for completely sequenced genomes, metagenomes and other gene collections such as UniProt. Our scoring component now uses HMMER3. A cloud-based pipeline was implemented and is publicly available. The SUPERFAMILY reference tree of life has been improved allowing the user to highlight a chosen superfamily, family or domain architecture on the tree of life.","['Gene and protein families', 'Genotype and phenotype', 'Metagenomics', 'Ontology and terminology', 'Protein folds and structural domains']","['Protein super-secondary structure prediction', 'Protein structure assignment', 'Protein fold recognition', 'Structure classification']",[],[],['Database portal'],108.0,,superfamily,,554.0,545.0,550.4
UDSMProt,0.250,"UDSMProt is an algorithm for the classification of proteins based on the sequence of amino acids alone. Its key component is a self-supervised pretraining step based on a language modeling task. The model is then subsequently finetuned to specific classification tasks. In our paper we considered enzyme class classification, gene ontology prediction and remote homology detection showcasing the excellent performance of UDSMProt.","['Natural language processing', 'Ontology and terminology', 'Enzymes', 'Small molecules', 'Gene and protein families']","['Protein modelling', 'Sequence classification', 'Fold recognition']",[],[],[],7.0,,udsmprot,,554.0,381.0,484.79999999999995
JProGO,0.250,Tool for the functional interpretation of prokaryotic microarray data using Gene Ontology information.,"['Gene expression', 'Microarray experiment', 'Model organisms', 'Ontology and terminology']","['Microarray data rendering', 'Gene expression analysis', 'Gene functional annotation']",[],[],['Web application'],26.0,,jprogo,,554.0,464.0,518.0
GenEx_ontology,0.250,"Enabling semantic queries across federated bioinformatics databases.

Ontology Documentation generated by WIDOCO.

Gene expression (GenEx) semantic model.","['Gene expression', 'Database management', 'Ontology and terminology']","['Query and retrieval', 'ID mapping']",[],[],[],6.0,,genex_ontology,,554.0,376.0,482.79999999999995
SimText,0.250,"A text mining framework for interactive analysis and visualization of similarities among biomedical entities.

For each search query, PMIDs or abstracts from PubMed are saved.

$ git clone https://github.com/dlal-group/simtext.

For all PMIDs in each row of a table the according abstracts are saved in additional columns.","['Natural language processing', 'Workflows', 'Machine learning', 'Molecular interactions, pathways and networks']","['Database search', 'Text mining', 'Text annotation', 'Clustering']",[],[],[],0.0,https://simtext.shinyapps.io/genes,simtext,,554.0,225.0,422.4
ARGminer,0.250,ARGminer is a web platform dedicated to the validation of ARGs by using sequence alignment and evidence from multiple sources.,"['Gene and protein families', 'Data submission, annotation and curation', 'Small molecules', 'Molecular interactions, pathways and networks', 'Ontology and terminology']","['Database search', 'Data retrieval', 'Antimicrobial resistance prediction']",[],[],['Database portal'],3.0,,argminer,,554.0,330.0,464.4
PredictProtein Open,0.250,Prediction of various aspects of protein structure and function. A user may submit a query to the server without registration.,"['Structure analysis', 'Data mining', 'Proteins', 'Function analysis', 'Machine learning', 'Sequence analysis', 'Data visualisation', 'Ontology and terminology']","['Protein structural motif recognition', 'Protein property calculation', 'Sequence composition calculation', 'Ontology visualisation', 'Protein function prediction', 'Taxonomic classification', 'Protein secondary structure prediction', 'Protein subcellular localisation prediction', 'Sequence alignment', 'Helical wheel drawing', 'Sequence profile generation', 'Sequence annotation', 'Data retrieval', 'Transmembrane protein prediction', 'Protein sequence analysis', 'Sequence similarity search', 'Protein signal peptide detection', 'Variant classification', 'Transmembrane protein visualisation', 'Heat map generation', 'Sequence visualisation', 'Protein feature detection', 'Protein hydropathy calculation', 'Sequence motif discovery', 'Protein binding site prediction', 'Protein-protein interaction prediction', 'Text mining', 'Protein modelling (mutation)', 'Literature search', 'Residue interaction prediction']","[{'data': {'term': 'protein sequence', 'uri': 'http://edamontology.org/data_2976'}, 'format': {'term': 'fasta', 'uri': 'http://edamontology.org/format_1929'}}]","[{'data': {'term': 'protein report', 'uri': 'http://edamontology.org/data_0896'}, 'format': {'term': 'textual format', 'uri': 'http://edamontology.org/format_2330'}}]",['Web application'],1652.0,,predictprotein_open,CC-BY-4.0,554.0,617.0,579.2
Human Phenotype Ontology,0.250,"Human Phenotype Ontology, a standardized vocabulary of phenotypic abnormalities encountered in human disease. With unmatched depth it enables clinicians to record and analyse data with extremely accurate computer interpretable ontology terms. Developed by The Monarch Initiative.","['Human biology', 'Personalised medicine', 'Rare diseases', 'Genotype and phenotype', 'Ontology and terminology']","['Data retrieval', 'Genotyping']",[],[],['Database portal'],0.0,https://github.com/obophenotype/human-phenotype-ontology/issues,human-phenotype-ontology,,554.0,225.0,422.4
AISO,0.250,Interactive image segmentation tool designed to allow curators of biological specimens to segment and annotate image data with ontology terms.,"['Ontology and terminology', 'Biological imaging']",['Image annotation'],[],[],['Desktop application'],0.0,http://www.mybiosoftware.com/aiso-0-3-image-segmentation-tool.html,aiso,,554.0,225.0,422.4
RESPOnSE,0.250,"Framework for Enforcing Risk-Aware Security Policies in Constrained Dynamic Environments.

Multi-criteria decision making algorithm based on TOPSIS.","['Mathematics', 'Ontology and terminology']","['Data retrieval', 'Essential dynamics']",[],[],[],1.0,,response,,554.0,271.0,440.79999999999995
VarCon,0.250,"An R Package for Retrieving Neighboring Nucleotides of an SNV.

Reporting of a single nucleotide variant (SNV) follows the Sequence Variant Nomenclature (http: varnomen.hgvs.org ), using an unambiguous numbering scheme specific for coding and noncoding DNA. However, the corresponding sequence neighborhood of a given SNV, which is required to assess its impact on splicing regulation, is not easily accessible from this nomenclature. Providing fast and easy access to this neighborhood just from a given SNV reference, the novel tool VarCon combines information of the Ensembl human reference genome and the corresponding transcript table for accurate retrieval. VarCon also displays splice site scores (HBond and MaxEnt scores) and HEXplorer profiles of an SNV neighborhood, reflecting position-dependent splice enhancing and silencing properties","['Sequence assembly', 'RNA splicing', 'Gene transcripts', 'Ontology and terminology', 'DNA polymorphism']","['Splice site prediction', 'Data retrieval', 'Sequence merging']",[],[],[],0.0,,varcon,,554.0,225.0,422.4
UFO,0.250,"A tool for unifying biomedical ontology-based semantic similarity calculation, enrichment analysis and visualization.","['Biomarkers', 'Protein interactions', 'Genotype and phenotype', 'Pathology', 'Ontology and terminology']","['Enrichment analysis', 'Ontology visualisation', 'Network visualisation']",[],[],[],0.0,,ufo,,554.0,225.0,422.4
MultiLoc2,0.250,"MultiLoc2 predicts animal, plant and fungal protein subcellularlocalizations by integrating phylogeny and Gene Ontology terms to the new version of the software.","['Plant biology', 'Phylogeny', 'Ontology and terminology', 'Zoology']",['Protein sequence analysis'],[],[],['Command-line tool'],190.0,http://www.mybiosoftware.com/multiloc2-20091026-predict-animal-plant-fungal-protein-subcellular-localization.html,multiloc2,,554.0,570.0,560.4
GOblet,0.250,"BLAST one or more protein or nucleotide sequences against databases that have sequences mapped to Gene Ontology (GO) terms.  Results can be viewed for individual sequences, or as survey statistics for the group if more than one sequence is submitted.","['Proteins', 'Sequence analysis', 'Mapping', 'Ontology and terminology', 'Sequencing']","['Mapping', 'Sequence tagged site (STS) mapping', 'Bisulfite mapping', 'Sequence tag mapping']",[],[],['Web application'],146.0,https://jib.tools/details.php?id=53,goblet,,554.0,557.0,555.2
ontogetsibs,0.250,Get ontology term(s) by id with common parent.,['Ontology and terminology'],['Data retrieval'],[],"[{'data': {'term': 'ontology term', 'uri': 'http://edamontology.org/data_0966'}}]",['Command-line tool'],5623.0,http://emboss.open-bio.org/html/adm/ch01s01.html,ontogetsibs,GPL-3.0,554.0,643.0,589.5999999999999
SBGN,0.250,The aim is to provide the most accurate translation for metabolic networks between GraphML (yEd) and SBGN-ML Process Description file formats. Translation in both direction is possible. This project should ultimately be integrated into the SBFC.,"['Endocrinology and metabolism', 'Systems biology', 'Protein expression', 'Molecular interactions, pathways and networks', 'Ontology and terminology']","['Visualisation', 'Editing', 'Expression profile pathway mapping']",[],[],[],0.0,http://github.com/draeger-lab/krayon4sbgn,sbgn,GPL-2.0,554.0,225.0,422.4
GODoc,0.250,"High-throughput protein function prediction using novel k-nearest-neighbor and voting algorithms.

GODoc: A High-Throughput Protein Function Prediction using the Novel k-nearest-neighbor and Voting algorithms.","['Machine learning', 'Model organisms', 'Function analysis', 'Ontology and terminology']","['Protein feature detection', 'Essential dynamics', 'Dimensionality reduction', 'Protein function prediction']",[],[],['Command-line tool'],0.0,,godoc,,554.0,225.0,422.4
DrawGlycan-SNFG,0.250,"Rendering glycans and annotating glycopeptide mass spectra.

Render glycans and glycopeptides with fragmentation info. using the Symbolic Nomenclature for Glycans [SNFG].

Virtual Glycome Release notes FAQ.

IUPAC-condensed Input (glycan or glycopeptide):.

If you use this software, please cite: Cheng, K. et al., 'DrawGlycan-SNFG: a robust tool to render glycans and glycopeptides with fragmentation information', Glycobiology 27(3): 200-205, 2017 ( Abstract & Full Text )","['Proteomics experiment', 'Ontology and terminology', 'Small molecules']","['Visualisation', 'Peptide database search', 'PTM localisation']",[],[],['Web application'],3.0,https://github.com/neel-lab/DrawGlycan-SNFGv2,DrawGlycan-SNFG,GPL-3.0,554.0,330.0,464.4
GOEAST,0.250,"Gene Ontology Enrichment Analysis (GOEAST) is a toolkit for the identification of over-represented GO terms in a given gene set. Distinguishing features include: capacity to analyze data from various sources and from multiple species, and the capacity to cross compare GO enriched terms across experiments to identify correlations.","['Probes and primers', 'Microarray experiment', 'Transcriptomics', 'Gene expression', 'Ontology and terminology']","['Gene-set enrichment analysis', 'Gene expression analysis', 'Gene expression correlation']",[],[],['Web application'],494.0,,goeast,,554.0,594.0,570.0
odMLtables,0.250,"A User-Friendly Approach for Managing Metadata of Neurophysiological Experiments.

An interface to convert odML structues to and from table-like representations, such as spreadsheets.

Table-based editing of odML metadata collections — odMLtables 1.0.0 documentation.

data model for storing arbitrary metadata.

Open metadata markup language - odML -.

odMLtables provides a set of functions to simplify the setup, maintenance and usage of a metadata management structure using odML. In addition to the Python API, odMLtables provides its main functionality also via a graphical user interface.

odMLtables - Table-based editing of odML metadata collections¶.

An interface to convert odML structures to and from table-like representations, such as spreadsheets","['Laboratory techniques', 'Neurobiology', 'Ontology and terminology']","['Visualisation', 'Data retrieval', 'Editing']",[],[],['Command-line tool'],2.0,https://github.com/INM-6/python-odmltables,odMLtables,BSD-3-Clause,554.0,305.0,454.4
DeepGOA,0.250,"DeepGOA is a deep Graph Convolutional Network based model to predict GO annotations of proteins. DeepGOA firstly quantifies the correlations (or edges) between GO terms and updates the edge weights of the direct acyclic graph (DAG) by leveraging GO annotations and hierarchy, then learns the semantic representation and latent inter-relations of GO terms in the way by applying GCN on the updated DAG.","['Proteomics', 'Machine learning', 'Small molecules', 'Molecular interactions, pathways and networks', 'Ontology and terminology']","['Protein secondary structure prediction', 'Variant effect prediction', 'Protein function prediction']",[],[],['Script'],0.0,,deepgoa,,554.0,225.0,422.4
PageMan,0.250,PageMan is a tool to get a quick overview of multiparallel experiments. PageMan also helps comparing experiments from different organisms.,"['Ontologies', 'Organisms']",['Microarray data analysis'],[],[],['Desktop application'],255.0,http://www.mybiosoftware.com/pageman-0-12-annotates-investigates-condenses-microarray-data-context-functional-ontologies.html,pageman,,554.0,581.0,564.8
SPEX2,0.250,"An automatic system for embryonic ISH image processing, which can extract, transform, compare, classify and cluster spatial gene expression patterns in Drosophila embryos.","['Gene expression', 'Ontology and terminology', 'RNA', 'Genetics']","['Image analysis', 'Gene expression analysis']",[],[],"['Command-line tool', 'Workflow']",31.0,http://www.mybiosoftware.com/spex2-automated-concise-extraction-spatial-gene-expression-patterns-fly-embryo-ish-image.html,spex2,,554.0,475.0,522.4
POEAS,0.250,Plant ontology enrichment analysis server. The server uses a simple list of genes as an input and perform enrichment analysis and provide results in two levels: a table with enrichment results and a visulaization utilitity to generate ontological graphs that can be used in publications.,"['Plant biology', 'Ontology and terminology']",['Gene expression analysis'],[],[],['Web application'],0.0,http://www.mybiosoftware.com/poeas-plant-ontology-enrichment-analysis-server.html,poeas,,554.0,225.0,422.4
COVID-19 TestNorm,0.250,"COVID-19 TestNorm is a tool to normalize COVID-19 testing names to LOINC codes.

Large observational data networks that leverage routine clinical practice data in electronic health records (EHRs) are critical resources for research on coronavirus disease 2019 (COVID-19). Data normalization is a key challenge for the secondary use of EHRs for COVID-19 research across institutions. In this study, we addressed the challenge of automating the normalization of COVID-19 diagnostic tests, which are critical data elements, but for which controlled terminology terms were published after clinical implementation. We developed a simple but effective rule-based tool called COVID-19 TestNorm to automatically normalize local COVID-19 testing names to standard LOINC (Logical Observation Identifiers Names and Codes) codes. COVID-19 TestNorm was developed and evaluated using 568 test names collected from 8 healthcare systems","['Natural language processing', 'Preclinical and clinical studies', 'Medical informatics', 'Laboratory techniques', 'Ontology and terminology']","['Quantification', 'Data retrieval', 'Standardisation and normalisation']",[],[],['Web application'],1.0,,covid-19-testnorm,,554.0,271.0,440.79999999999995
mvGST,0.250,"Platform-independent tools to identify GO terms that are differentially active in multiple contrasts of interest. Given a matrix of one-sided p-values, it uses meta-analytic methods to combine p-values for all genes annotated to each gene set, and then classify them as significantly more active, less active, or not significantly differentially active in each contrast of interest. With multiple contrasts of interest, each gene set is assigned to a profile of differential activity.","['Ontology and terminology', 'Functional genomics']",['Gene functional annotation'],[],[],"['Command-line tool', 'Library']",1245.0,,mvgst,GPL-3.0,554.0,614.0,578.0
dictyExpress,0.250,"An interactive, web-based exploratory data analytics application providing access to over 1,000 Dictyostelium gene expression experiments from Baylor College of Medicine.","['Gene expression', 'Networks', 'Ontology and terminology', 'Medicine']",['Retrieval'],[],[],['Desktop application'],0.0,http://www.mybiosoftware.com/dictyexpress-1-5-dictyostelium-gene-expression-analysis.html,dictyexpress,,554.0,225.0,422.4
SSIF,0.250,Subsumption-based Sub-term Inference Framework to audit Gene Ontology.,"['Bioinformatics', 'Small molecules', 'Molecular interactions, pathways and networks', 'Cell biology', 'Ontology and terminology']","['Parsing', 'Relation extraction']",[],[],[],1.0,,ssif,,554.0,271.0,440.79999999999995
ontogetcommon,0.250,Get common ancestor for terms.,['Ontology and terminology'],['Data retrieval'],[],"[{'data': {'term': 'ontology term', 'uri': 'http://edamontology.org/data_0966'}}]",['Command-line tool'],5623.0,http://emboss.open-bio.org/html/adm/ch01s01.html,ontogetcommon,GPL-3.0,554.0,643.0,589.5999999999999
