name	description	type	topic	input	output
pybel	Pure Python package for parsing, validating, compiling, and converting networks encoded in BEL.	['Library']	[{'term': 'Data integration and warehousing', 'uri': 'http://edamontology.org/topic_3366'}, {'term': 'Gene expression', 'uri': 'http://edamontology.org/topic_0203'}, {'term': 'Molecular interactions, pathways and networks', 'uri': 'http://edamontology.org/topic_0602'}]	[]	[]
sbmlmod	A web application that allows the integration of various data into a given SBML model. Accepted data cover common gene expression, proteomics or metabolomics data.	['Web application']	[{'term': 'Data integration and warehousing', 'uri': 'http://edamontology.org/topic_3366'}, {'term': 'Systems biology', 'uri': 'http://edamontology.org/topic_2259'}]	[]	[]
lcmix	R package using hierarchical mixture models for genomic data integration.	['Command-line tool']	[{'term': 'Data integration and warehousing', 'uri': 'http://edamontology.org/topic_3366'}, {'term': 'Machine learning', 'uri': 'http://edamontology.org/topic_3474'}, {'term': 'Genomics', 'uri': 'http://edamontology.org/topic_0622'}]	[]	[]
bionimbus	Cloud environment accessing, managing and analyzing large genomics and phenotypic datasets.	['Workbench']	[{'term': 'Data governance', 'uri': 'http://edamontology.org/topic_3571'}, {'term': 'Data integration and warehousing', 'uri': 'http://edamontology.org/topic_3366'}, {'term': 'Data architecture, analysis and design', 'uri': 'http://edamontology.org/topic_3365'}, {'term': 'Data mining', 'uri': 'http://edamontology.org/topic_3473'}]	[]	[]
kddn	Cytoscape app to learn biological network topology and its changes using profiling data and domain knowledge. It takes input data and runs KDDN algorithm to construct the dependency network.	['Desktop application']	[{'term': 'Data integration and warehousing', 'uri': 'http://edamontology.org/topic_3366'}, {'term': 'Gene expression', 'uri': 'http://edamontology.org/topic_0203'}, {'term': 'Microarray experiment', 'uri': 'http://edamontology.org/topic_3518'}, {'term': 'Systems biology', 'uri': 'http://edamontology.org/topic_2259'}, {'term': 'Molecular interactions, pathways and networks', 'uri': 'http://edamontology.org/topic_0602'}]	[]	[]
cuneiform	A functional scientific workflow language for large scale scientific data analysis. It enables integration of external tools written in any language and automatic parallelization of execution.	['Workbench']	[{'term': 'Bioinformatics', 'uri': 'http://edamontology.org/topic_0091'}, {'term': 'Computational biology', 'uri': 'http://edamontology.org/topic_3307'}, {'term': 'Data integration and warehousing', 'uri': 'http://edamontology.org/topic_3366'}, {'term': 'Workflows', 'uri': 'http://edamontology.org/topic_0769'}]	[{'data': {'term': 'workflow metadata', 'uri': 'http://edamontology.org/data_0949'}, 'format': {'term': 'workflow format', 'uri': 'http://edamontology.org/format_2032'}}]	[{'data': {'term': 'workflow metadata', 'uri': 'http://edamontology.org/data_0949'}, 'format': {'term': 'workflow format', 'uri': 'http://edamontology.org/format_2032'}}]
multi experiment matrix	Web based tool for performing co-expression queries over large collections of gene expression experiments. It provides access to several hundreds of publicly available gene expression datasets of different tissues, diseases and conditions, arranged by the species and microarray platform types. The main user input is the name or ID of a query gene (various syononyms are accepted) and the choice of the collection of microarray experiments to be used in the co-expression query.	['Web application']	[{'term': 'Functional genomics', 'uri': 'http://edamontology.org/topic_0085'}, {'term': 'Data integration and warehousing', 'uri': 'http://edamontology.org/topic_3366'}, {'term': 'Data visualisation', 'uri': 'http://edamontology.org/topic_0092'}]	[{'data': {'term': 'identifier (hybrid)', 'uri': 'http://edamontology.org/data_2109'}}]	[{'data': {'term': 'identifier (hybrid)', 'uri': 'http://edamontology.org/data_2109'}}]
gaggle	This package contains functions enabling data exchange between R and Gaggle enabled bioinformatics software, including Cytoscape, Firegoose and Gaggle Genome Browser.	['Command-line tool', 'Library']	[{'term': 'Data integration and warehousing', 'uri': 'http://edamontology.org/topic_3366'}]	[{'data': {'term': 'pathway or network', 'uri': 'http://edamontology.org/data_2600'}, 'format': {'term': 'textual format', 'uri': 'http://edamontology.org/format_2330'}}]	[{'data': {'term': 'pathway or network', 'uri': 'http://edamontology.org/data_2600'}, 'format': {'term': 'textual format', 'uri': 'http://edamontology.org/format_2330'}}]
xvector	"The package uses memory efficient S4 classes for storing sequences ""externally"" (behind an R external pointer, or on disk)."	['Command-line tool', 'Library']	[{'term': 'Genomics', 'uri': 'http://edamontology.org/topic_0622'}, {'term': 'Sequencing', 'uri': 'http://edamontology.org/topic_3168'}, {'term': 'Data integration and warehousing', 'uri': 'http://edamontology.org/topic_3366'}, {'term': 'Software engineering', 'uri': 'http://edamontology.org/topic_3372'}]	[]	[]
annotationdbi	Provides user interface and database connection code for annotation data packages using SQLite data storage.	['Command-line tool', 'Library']	[{'term': 'Data integration and warehousing', 'uri': 'http://edamontology.org/topic_3366'}, {'term': 'Sequence analysis', 'uri': 'http://edamontology.org/topic_0080'}]	[{'data': {'term': 'nucleic acid features', 'uri': 'http://edamontology.org/data_1276'}, 'format': {'term': 'sqlite format', 'uri': 'http://edamontology.org/format_3621'}}]	[{'data': {'term': 'nucleic acid features', 'uri': 'http://edamontology.org/data_1276'}, 'format': {'term': 'sqlite format', 'uri': 'http://edamontology.org/format_3621'}}]
stategra	Classes and tools for multi-omics data integration.	['Command-line tool', 'Library']	[{'term': 'Data integration and warehousing', 'uri': 'http://edamontology.org/topic_3366'}, {'term': 'Omics', 'uri': 'http://edamontology.org/topic_3391'}]	[{'data': {'term': 'matrix', 'uri': 'http://edamontology.org/data_2082'}, 'format': {'term': 'matrix format', 'uri': 'http://edamontology.org/format_3033'}}]	[{'data': {'term': 'matrix', 'uri': 'http://edamontology.org/data_2082'}, 'format': {'term': 'matrix format', 'uri': 'http://edamontology.org/format_3033'}}]
pint	Pairwise data integration for functional genomics, including tools for DNA/RNA/miRNA dependency screens.	['Command-line tool', 'Library']	[{'term': 'Functional genomics', 'uri': 'http://edamontology.org/topic_0085'}, {'term': 'Data integration and warehousing', 'uri': 'http://edamontology.org/topic_3366'}, {'term': 'Gene expression', 'uri': 'http://edamontology.org/topic_0203'}, {'term': 'Microarray experiment', 'uri': 'http://edamontology.org/topic_3518'}, {'term': 'Genetics', 'uri': 'http://edamontology.org/topic_3053'}, {'term': 'Oncology', 'uri': 'http://edamontology.org/topic_2640'}]	[{'data': {'term': 'microarray metadata', 'uri': 'http://edamontology.org/data_3115'}, 'format': {'term': 'matrix format', 'uri': 'http://edamontology.org/format_3033'}}]	[{'data': {'term': 'microarray metadata', 'uri': 'http://edamontology.org/data_3115'}, 'format': {'term': 'matrix format', 'uri': 'http://edamontology.org/format_3033'}}]
customprodb	Generate customized protein sequence database from RNA-Seq data for proteomics search.	['Command-line tool', 'Library']	[{'term': 'Data integration and warehousing', 'uri': 'http://edamontology.org/topic_3366'}, {'term': 'RNA-Seq', 'uri': 'http://edamontology.org/topic_3170'}, {'term': 'Sequencing', 'uri': 'http://edamontology.org/topic_3168'}]	[{'data': {'term': 'cosmic id', 'uri': 'http://edamontology.org/data_3264'}, 'format': {'term': 'fasta', 'uri': 'http://edamontology.org/format_1929'}}]	[{'data': {'term': 'cosmic id', 'uri': 'http://edamontology.org/data_3264'}, 'format': {'term': 'fasta', 'uri': 'http://edamontology.org/format_1929'}}]
annotationfuncs	Functions for handling translating between different identifieres using the Biocore Data Team data-packages (e.g. org.Bt.eg.db).	['Command-line tool', 'Library']	[{'term': 'Data integration and warehousing', 'uri': 'http://edamontology.org/topic_3366'}]	[{'data': {'term': 'accession', 'uri': 'http://edamontology.org/data_2091'}, 'format': {'term': 'textual format', 'uri': 'http://edamontology.org/format_2330'}}]	[{'data': {'term': 'accession', 'uri': 'http://edamontology.org/data_2091'}, 'format': {'term': 'textual format', 'uri': 'http://edamontology.org/format_2330'}}]
annotationforge	Provides code for generating Annotation packages and their databases. Packages produced are intended to be used with AnnotationDbi.	['Command-line tool', 'Library']	[{'term': 'Data integration and warehousing', 'uri': 'http://edamontology.org/topic_3366'}, {'term': 'Database management', 'uri': 'http://edamontology.org/topic_3489'}]	[{'data': {'term': 'ontology data', 'uri': 'http://edamontology.org/data_2353'}, 'format': {'term': 'ontology format', 'uri': 'http://edamontology.org/format_2195'}}]	[{'data': {'term': 'ontology data', 'uri': 'http://edamontology.org/data_2353'}, 'format': {'term': 'ontology format', 'uri': 'http://edamontology.org/format_2195'}}]
morca	Mobile client able to integrate different type of web-services repositories mapping metadata over a general definition to support scalable service discovery and to achieve flexible inter-communication between tools.	['Web application']	[{'term': 'Software engineering', 'uri': 'http://edamontology.org/topic_3372'}, {'term': 'Data mining', 'uri': 'http://edamontology.org/topic_3473'}, {'term': 'Data integration and warehousing', 'uri': 'http://edamontology.org/topic_3366'}]	[]	[]
martview	Tool for data retrieval and data mining that integrates data from Ensembl. Through the web interface it allows you to apply a series of filters to create custom datasets which can be converted to several useful output formats.	['Web application']	[{'term': 'Gene transcripts', 'uri': 'http://edamontology.org/topic_3512'}, {'term': 'Data integration and warehousing', 'uri': 'http://edamontology.org/topic_3366'}, {'term': 'Database management', 'uri': 'http://edamontology.org/topic_3489'}, {'term': 'Molecular interactions, pathways and networks', 'uri': 'http://edamontology.org/topic_0602'}, {'term': 'Pathology', 'uri': 'http://edamontology.org/topic_0634'}]	[]	[]
venn diagrams	With this tool you can calculate the intersection(s) of list of elements. It will generate a textual output indicating which elements are in each intersection or are unique to a certain list. If the number of lists is lower than 6 it will also produce a graphical output in the form of a venn diagram. You have the choice between symmetric (default) or non symmetric venn diagrams. Currently you are able to calculate the intersections of at maximum 30 lists.	['Web application']	[{'term': 'Data integration and warehousing', 'uri': 'http://edamontology.org/topic_3366'}]	[]	[]
robustrankaggregation	Methods for aggregating ranked lists, especially lists of genes. It implements the Robust Rank Aggregation (RRA) and some other simple algorithms for the task. RRA method uses a probabilistic model for aggregation that isrobust to noise and also facilitates the calculation of significance probabilities for all the elements in the final ranking.	['Command-line tool']	[{'term': 'Statistics and probability', 'uri': 'http://edamontology.org/topic_2269'}, {'term': 'Data integration and warehousing', 'uri': 'http://edamontology.org/topic_3366'}]	[{'data': {'term': 'id list', 'uri': 'http://edamontology.org/data_2872'}}]	[{'data': {'term': 'id list', 'uri': 'http://edamontology.org/data_2872'}}]
international protein index (ipi)	Provides a top level guide to the main databases that describe the proteomes of higher eukaryotic organisms. It effectively maintains a database of cross references between the primary data sources, provides minimally redundant yet maximally complete sets of proteins for featured species (one sequence per transcript) and maintains stable identifiers (with incremental versioning) to allow the tracking of sequences.	['Database portal']	[{'term': 'Data integration and warehousing', 'uri': 'http://edamontology.org/topic_3366'}, {'term': 'Data governance', 'uri': 'http://edamontology.org/topic_3571'}, {'term': 'Functional genomics', 'uri': 'http://edamontology.org/topic_0085'}, {'term': 'Proteins', 'uri': 'http://edamontology.org/topic_0078'}]	[{'data': {'term': 'ipi protein id', 'uri': 'http://edamontology.org/data_2384'}}]	[{'data': {'term': 'ipi protein id', 'uri': 'http://edamontology.org/data_2384'}}]
expression profiler	Web based platform for microarray data analysis developed at the EBI. This resource is integrated with the ArrayExpress database, a public repository for microarray data.	['Web application']	[{'term': 'Gene expression', 'uri': 'http://edamontology.org/topic_0203'}, {'term': 'Microarray experiment', 'uri': 'http://edamontology.org/topic_3518'}, {'term': 'Database management', 'uri': 'http://edamontology.org/topic_3489'}, {'term': 'Data architecture, analysis and design', 'uri': 'http://edamontology.org/topic_3365'}, {'term': 'Data integration and warehousing', 'uri': 'http://edamontology.org/topic_3366'}]	[]	[]
